nodes2T,nodes2L,nodes4T,nodes4L,nodes8T,nodes8L,nodes16T,nodes16L,,,,nodes8T2,nodes8L2,nodes16T2,nodes16L2
,,,,80713.04736,-1450167575,48485.08119,-1460807018,34,,,,,58464.84922,-1466508416
,,,,82698.24027,-1446502621,49699.39075,-1454316818,35,,,,,59932.49168,-1461023958
,,,,84685.90816,-1443333473,50919.90437,-1447810820,36,,,,,61409.83995,-1454713937
,,,,86666.25977,-1439959934,52139.34518,-1441334752,37,,,,,62877.09927,-1448398572
,,,,,,53360.65622,-1434886343,38,,,,,64329.1818,-1.44E+09
,,,,,,54585.04515,-1428481593,39,,,,,65802.45534,-1.44E+09
,,,,,,55800.67703,-1422308040,40,,,,,67268.90078,-1.43E+09
,,,,,,57019.58917,-1417067433,41,,,,,68731.62698,-1.42E+09
,,,,,,58236.00742,-1413799234,42,,,,,70190.75396,-1.42E+09
,,,,,,59453.48873,-1411554912,43,,,,,71659.78762,-1.42E+09
,,,,,,60671.71232,-1409323843,44,,,,,73128.32895,-1.41E+09
,,,,,,61892.80067,-1407014997,45,,,,,74598.8325,-1.41E+09
,,,,,,63110.7127,-1404660593,46,,,,,76065.40826,-1.40E+09
,,,,,,64331.67823,-1402281648,47,,,,,77536.34174,-1.40E+09
,,,,,,65551.50489,-1399745334,48,,,,,78977.97647,-1.40E+09
,,,,,,66774.54552,-1396905184,49,,,,,80443.15798,-1.39E+09
,,,,,,67995.45812,-1393758552,50,,,,,81903.82913,-1.39E+09
,,,,,,69224.55971,-1390341657,51,,,,,83370.84837,-1.38E+09
,,,,,,70452.66182,-1386679196,52,,,,,84828.40471,-1.38E+09
,,,,,,71673.46549,-1382798133,53,,,,,86286.26853,-1.37E+09
,,,,,,72892.87721,-1378726321,54,,,,,87763.44968,-1.37E+09
,,,,,,74110.88831,-1374490161,55,,,,,,
,,,,,,75328.9361,-1370114679,56,,,,,,
,,,,,,76558.12808,-1365631952,57,,,,,,
,,,,,,77779.84607,-1361058825,58,,,,,,
,,,,,,79006.16392,-1356413114,59,,,,,,
,,,,,,80228.64829,-1351714991,60,,,,,,
,,,,,,81461.79007,-1346973973,61,,,,,,
,,,,,,82677.70341,-1342208060,62,,,,,,
,,,,,,83896.59632,-1337407092,63,,,,,,
,,,,,,85120.58957,-1332595272,64,,,,,,
,,,,,,86347.2274,-1327762600,65,,,,,,
,,,,,,87579.29944,-1322920961,66,,,,,,
