nodes2T,nodes2L,nodes4T,nodes4L,nodes8T,nodes8L,nodes16T,nodes16L,,,,,,,,,,,,
,,,,78724.57506,-1.45E+09,47263.23671,-1.47E+09,33,,,,,,,,,,,
,,,,80713.04736,-1.45E+09,48485.08119,-1.46E+09,34,,,,,,,,,,,
,,,,82698.24027,-1.45E+09,49699.39075,-1.45E+09,35,,,,,,,,,,,
,,,,84685.90816,-1.44E+09,50919.90437,-1.45E+09,36,,,,,,,,,,,
,,,,86666.25977,-1.44E+09,52139.34518,-1.44E+09,37,,,,,,,,,,,
,,,,,,53360.65622,-1.43E+09,38,,,,,,,,,,,
,,,,,,54585.04515,-1.43E+09,39,,,,,,,,,,,
,,,,,,55800.67703,-1.42E+09,40,,,,,,,,,,,
,,,,,,57019.58917,-1.42E+09,41,,,,,,,,,,,
,,,,,,58236.00742,-1.41E+09,42,,,,,,,,,,,
,,,,,,59453.48873,-1.41E+09,43,,,,,,,,,,,
,,,,,,60671.71232,-1.41E+09,44,,,,,,,,,,,
,,,,,,61892.80067,-1.41E+09,45,,,,,,,,,,,
,,,,,,63110.7127,-1.40E+09,46,,,,,,,,,,,
,,,,,,64331.67823,-1.40E+09,47,,,,,,,,,,,
,,,,,,65551.50489,-1.40E+09,48,,,,,,,,,,,
,,,,,,66774.54552,-1.40E+09,49,,,,,,,,,,,
,,,,,,67995.45812,-1.39E+09,50,,,,,,,,,,,
,,,,,,69224.55971,-1.39E+09,51,,,,,,,,,,,
,,,,,,70452.66182,-1.39E+09,52,,,,,,,,,,,
,,,,,,71673.46549,-1.38E+09,53,,,,,,,,,,,
,,,,,,72892.87721,-1.38E+09,54,,,,,,,,,,,
,,,,,,74110.88831,-1.37E+09,55,,,,,,,,,,,
,,,,,,75328.9361,-1.37E+09,56,,,,,,,,,,,
,,,,,,76558.12808,-1.37E+09,57,,,,,,,,,,,
,,,,,,77779.84607,-1.36E+09,58,,,,,,,,,,,
,,,,,,79006.16392,-1.36E+09,59,,,,,,,,,,,
,,,,,,80228.64829,-1.35E+09,60,,,,,,,,,,,
,,,,,,81461.79007,-1.35E+09,61,,,,,,,,,,,
,,,,,,82677.70341,-1.34E+09,62,,,,,,,,,,,
,,,,,,83896.59632,-1.34E+09,63,,,,,,,,,,,
,,,,,,85120.58957,-1.33E+09,64,,,,,,,,,,,
,,,,,,86347.2274,-1.33E+09,65,,,,,,,,,,,
,,,,,,87579.29944,-1.32E+09,66,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
