@relation 'synthethicData-weka.filters.unsupervised.attribute.NumericToNominal-R1,2,5'

@attribute A {1,2}
@attribute B {1,2,3}
@attribute C real
@attribute D real
@attribute E {1,2}
@attribute G real
@attribute H real
@attribute I real

@data
2,1,-0.73857,-2.142297,2,-3.360338,0.862909,0.187346
2,3,-0.904122,-1.604454,1,-3.24701,0.972394,0.769847
2,1,2.121021,-2.894768,2,-2.661402,2.462104,0.866849
2,3,0.932805,-1.639152,2,-2.938275,1.472685,0.264396
2,3,2.791692,-2.573641,2,-2.854823,-2.577052,0.885014
2,3,0.975914,-2.102993,1,-3.03521,2.003494,0.695744
2,3,1.432146,-2.489942,2,-2.893853,0.95216,0.511904
2,3,-0.46952,-1.36314,2,-2.808752,1.89878,0.374825
1,3,-0.693093,-4.318707,2,-2.981813,3.150778,0.600887
2,3,1.138172,-3.185075,2,-2.577105,0.779348,0.463502
2,2,1.476206,-3.20667,2,-3.353448,4.115497,0.495749
2,2,1.516015,-2.808642,1,-3.493113,1.28001,0.806359
2,3,0.659427,-2.556394,2,-3.223115,3.158594,0.500723
1,3,0.536209,-2.254262,1,-3.008939,3.165046,0.43982
2,3,1.067452,-2.625515,2,-2.983862,2.444892,0.545397
1,3,0.85579,-1.941799,1,-2.827758,2.946947,0.160737
1,3,-0.423174,-1.575606,2,-3.025432,-0.480882,0.4371
2,3,-0.443841,-2.890236,2,-2.95322,3.261455,0.166022
2,3,-0.291685,-3.724801,2,-2.487324,-0.782835,0.536981
2,1,1.712304,-3.851393,2,-3.412204,2.0521,0.026562
2,3,1.542942,-2.071705,1,-3.092026,3.141451,0.824597
2,3,-0.034649,-2.181437,2,-2.9345,0.07313,0.816951
2,2,0.34131,-1.24958,1,-2.988816,-0.797977,1.041958
2,2,0.033304,-2.36295,2,-3.08843,2.185236,0.642099
2,3,0.29127,-2.332683,1,-2.680952,0.830381,0.371772
2,2,0.180113,-2.766514,2,-3.138314,-0.42139,0.679993
2,3,0.227348,-1.499706,2,-3.079838,0.985892,0.806974
2,1,2.451119,-2.783233,2,-3.435324,2.256476,1.004718
1,3,1.009033,-2.887631,2,-2.834942,2.049825,0.323123
2,2,1.05383,-3.720006,2,-2.47607,1.143656,0.50691
2,2,2.009335,-4.448208,2,-2.781768,-1.277297,0.115985
2,3,-0.835197,-2.078805,2,-2.809594,1.467207,0.953423
2,3,0.017772,-2.796615,2,-3.078243,0.088049,0.497067
2,3,-0.154377,-3.716569,2,-2.845996,3.83611,-0.267243
1,3,0.782965,-3.518004,2,-3.070834,2.365208,0.428032
2,3,2.34352,-3.500454,2,-2.864601,1.767478,1.482364
2,3,0.807776,-2.186885,2,-3.198962,1.866687,0.073995
2,3,0.131062,-2.195528,1,-2.79248,1.902632,0.634142
2,2,-0.205397,-3.694107,2,-3.036304,0.53078,0.448914
1,3,1.455692,-2.944512,2,-2.811656,1.238076,1.008755
2,2,1.285544,-2.443359,2,-3.150026,2.431592,0.90947
2,3,1.687211,-3.799803,2,-2.661592,-0.044053,0.105327
2,2,1.781247,-4.460581,2,-3.069642,1.368004,-0.049886
2,2,0.332483,-3.526602,2,-3.313927,1.709095,0.38391
1,2,1.577751,-1.123106,2,-3.177039,3.372959,0.460504
1,2,1.235603,-2.880516,2,-3.411489,0.602936,0.485079
2,3,0.031258,-2.969188,1,-3.517964,2.051583,0.985646
1,2,0.328267,-0.687796,2,-2.631762,0.557321,0.643225
2,2,0.753676,-3.893554,2,-3.340797,0.81525,-0.378622
2,2,-0.985655,-2.753642,2,-2.609807,0.646384,0.371691
1,3,0.081035,-2.977477,1,-2.673126,1.435356,0.871032
1,3,-0.993317,-3.000455,2,-2.987682,1.721497,0.305388
2,3,-0.788131,-4.971567,2,-2.926538,1.831833,1.222571
2,3,-0.978795,-1.565104,1,-2.76793,-0.420396,0.339065
2,3,0.932207,-3.013132,2,-2.972594,1.615414,0.665889
2,2,0.858627,-2.00771,2,-2.778393,0.325657,0.86201
1,1,-0.985377,-4.014832,2,-2.708532,0.894377,1.834396
2,3,2.225103,-2.652373,1,-2.583563,1.180901,0.883792
1,3,-0.5239,1.079488,1,-3.047684,1.726675,0.445998
2,2,-1.251713,-1.975406,2,-2.992013,0.859318,0.481751
1,3,-1.022434,-1.922831,2,-2.79723,1.023103,0.181876
2,2,-1.069308,-4.233674,1,-3.257273,-0.353861,0.380971
2,3,-0.065976,-1.760833,2,-2.89665,-0.441862,0.831023
2,2,2.135656,-2.153759,1,-2.975608,0.45858,0.5198
1,2,0.576236,-3.81025,2,-2.999603,3.437736,0.575148
2,2,1.248676,-1.253264,2,-3.006783,0.364257,0.062831
1,1,0.450099,-3.508816,2,-3.080374,2.71874,0.814267
2,1,0.45241,-3.297195,2,-2.845529,-0.667743,0.414203
2,3,1.024663,-4.372232,2,-3.412864,0.13423,0.662061
1,3,-1.129405,-2.05887,2,-3.181186,1.779557,-0.454155
2,2,1.818599,-4.057506,1,-2.677883,1.975626,0.088281
2,2,0.855969,-2.616251,2,-3.297541,0.935806,0.473113
2,3,0.116167,-3.457195,2,-3.289554,1.228489,1.088382
2,3,1.197809,-3.305321,1,-3.086049,0.770243,0.825634
1,3,0.294286,-5.671356,1,-3.224465,0.452974,0.584753
1,3,-0.853299,-4.915276,2,-2.699212,2.773973,0.161843
1,2,1.105049,-2.297636,2,-2.9775,-1.179755,0.305157
1,1,0.815512,-2.714645,2,-3.148231,1.399045,0.281574
2,3,-0.068212,-3.019234,1,-2.925502,-0.025327,-0.046903
2,3,1.22197,-2.933444,2,-3.08842,-0.37999,0.412606
2,2,1.15678,-2.959284,2,-2.966539,2.48595,-0.067083
2,3,-0.141838,-2.536311,2,-2.742434,-0.631362,0.827163
2,3,1.318501,-4.217255,2,-2.882082,1.598652,0.215127
2,2,1.588921,-3.957742,2,-2.716503,1.458263,0.42655
2,3,1.400045,-3.166362,2,-2.787275,0.546977,0.669513
2,3,0.499984,-1.930162,2,-3.472447,0.775651,1.366555
2,2,0.96618,-2.256772,2,-3.79687,-0.645153,0.649974
1,3,-1.156413,-1.429248,2,-3.517455,1.666043,0.183777
2,2,-0.656555,-1.844689,2,-3.043744,1.390096,0.067049
2,3,0.753833,-3.066141,1,-3.227112,2.371552,0.474665
2,3,-0.793651,-4.16544,2,-3.102773,-0.135498,-0.035063
2,2,1.18954,-2.329818,2,-3.021237,0.390523,0.399846
1,3,-0.072439,-2.445175,2,-2.95701,1.023027,1.28441
2,2,-0.076748,-4.07226,2,-2.556156,1.379984,0.3081
2,1,2.395482,-3.001082,2,-3.101005,3.709803,0.248399
2,3,0.888196,-3.139553,2,-3.143886,1.707435,0.653524
2,3,-0.357088,-2.599334,2,-3.038279,2.639081,0.798938
1,2,1.263877,-2.403171,2,-3.19764,4.505672,-0.225881
2,2,-0.116215,-2.11773,2,-3.005686,1.114874,1.310981
1,2,0.391881,-2.150451,2,-3.222632,5.592318,0.274919
2,3,0.72494,-4.663038,1,-3.179059,0.495097,0.796831
2,2,-0.001254,-2.7281,2,-2.97859,1.358301,1.013638
2,3,0.599439,-2.596005,1,-2.529392,3.713452,0.679386
2,3,1.275517,-2.50424,2,-3.543376,2.883535,0.006479
2,2,-1.034787,-4.652564,2,-3.289114,1.357508,0.454693
2,3,1.316767,-4.439641,2,-3.118297,0.973205,1.214625
2,2,1.687402,-2.366455,2,-3.031636,-0.556487,0.37821
1,2,-0.147313,-2.855097,1,-3.009859,1.651226,0.184592
2,3,-0.613568,-2.859318,2,-2.757058,0.377924,0.565958
1,3,-0.023987,-1.786415,2,-3.071875,1.959611,-0.351888
1,1,1.146554,-3.00022,2,-3.215327,2.643863,0.516857
2,2,1.860095,-3.428952,2,-3.010778,2.546805,0.446992
2,2,1.348987,-2.673115,2,-3.063628,-0.709619,0.216817
2,3,0.551192,-2.298653,2,-2.829585,2.500675,0.864685
2,3,1.045699,-3.058498,2,-3.189381,1.964778,0.18556
2,3,2.279159,-5.0305,2,-2.87461,1.936672,0.900093
2,3,-1.175424,-2.265893,2,-3.227456,-1.942446,0.910306
2,3,0.973642,-4.316635,1,-3.064975,2.086651,0.520302
2,2,0.527844,-1.246788,2,-3.011063,-0.248701,0.599024
2,2,0.425701,-0.751409,2,-3.122009,2.827925,0.732689
1,3,1.435689,-2.907192,2,-2.967109,0.759144,0.525249
2,3,0.43211,-2.591746,2,-3.23843,0.553551,0.31749
1,2,0.62303,-4.726236,2,-2.569289,1.832572,0.053668
2,3,0.08827,-1.651341,1,-2.85679,1.796912,-0.138392
2,3,-0.259042,-1.974146,1,-2.975646,1.970038,1.159327
2,3,2.983201,-3.25321,2,-3.032044,1.482801,0.089246
1,3,1.107456,-3.292612,2,-3.099757,1.046734,1.144631
2,3,-0.794442,-1.490856,1,-2.428433,1.233974,0.645646
2,3,1.318848,-1.837334,2,-3.101212,1.998475,0.399233
2,3,1.594149,-3.556507,2,-2.858171,2.669677,0.513094
2,3,0.268916,-3.637496,1,-2.725195,3.523062,0.638433
2,3,0.400233,-2.297117,2,-2.788793,1.639267,0.972921
2,2,2.014205,-3.172099,1,-3.074533,-0.637283,-0.24816
2,3,1.300727,-3.5302,2,-2.783093,0.782753,1.148468
1,3,0.487999,-2.211471,1,-2.695108,1.992497,0.263637
2,3,-0.336636,-2.146488,2,-3.182955,0.435581,0.402138
1,3,0.995469,-5.087598,1,-3.133359,-0.56604,0.59765
2,3,1.200363,-2.528067,2,-2.688874,1.19895,0.595328
2,3,-0.171802,-2.123533,2,-3.317254,-0.241835,0.135064
1,3,0.01775,-3.993135,2,-3.452372,0.221033,0.375371
2,1,0.606457,-2.682485,2,-2.894707,1.911074,-0.135376
2,2,0.03168,-4.485862,2,-2.865247,-0.128219,-0.333395
1,2,0.236918,-2.880182,2,-3.178602,0.05625,0.628715
2,2,0.502766,-4.559972,2,-3.295042,1.035548,0.546834
2,3,-0.272624,-3.973704,2,-3.476458,3.858904,-0.558289
2,3,-0.566014,-1.90428,1,-2.937038,3.499225,0.703297
2,2,0.910457,-2.937041,1,-3.713707,2.1408,0.355394
2,3,0.15432,-1.148925,2,-3.218686,4.574885,0.250716
2,2,-0.633719,-2.648366,2,-2.705842,2.511593,0.367557
1,3,0.34374,-3.409335,2,-2.758562,4.137652,0.873248
2,1,1.007084,-4.459975,2,-3.24129,2.93115,0.993062
2,3,0.323177,-0.956199,1,-3.204979,3.034253,0.61043
2,3,0.824849,-2.933377,2,-3.509532,4.38506,1.098891
2,3,-0.393092,-3.814997,2,-3.054328,0.959795,0.040626
1,2,-0.194004,-2.669519,2,-2.690388,0.734226,0.549322
2,3,0.442843,-0.797754,1,-2.59629,0.33525,-0.617668
2,2,1.8575,-1.889767,1,-2.629014,1.647515,0.356032
1,2,-0.173898,-2.858286,2,-3.298705,0.870965,0.582757
1,3,1.197441,-3.460898,2,-2.8371,2.250387,0.255057
2,3,1.37561,-4.098651,2,-3.079663,-1.372732,0.965228
2,3,1.80071,-2.002514,2,-3.605715,1.133789,0.603516
2,3,-1.19552,-2.426873,1,-2.944966,1.420574,1.209442
2,1,-0.078699,-3.341764,2,-2.87579,3.912396,0.928741
2,2,1.074741,-4.691909,1,-2.824532,2.66271,-0.027583
2,2,-0.047051,-3.224184,2,-2.891784,2.562791,1.420482
2,3,-0.001521,-3.67192,2,-2.776235,1.128999,-0.085804
2,2,2.138855,-2.414147,2,-2.760106,0.980579,0.567924
2,2,1.154677,-2.653595,2,-3.048495,1.588916,0.733281
2,3,0.934214,-4.55043,1,-3.041325,0.672784,0.207752
2,3,2.198768,-2.81955,2,-3.187334,2.600438,0.830107
2,2,-0.365246,-3.227197,2,-3.243031,2.488496,0.501101
2,3,-0.303471,-2.517752,1,-2.871018,2.710387,0.612183
2,3,0.563687,-2.380696,2,-3.073249,1.851056,0.070096
2,2,1.848877,-3.336573,2,-2.763286,4.425747,0.522495
1,1,-0.192287,-3.031056,1,-3.352364,1.012896,0.817689
1,3,-2.144812,-1.566217,2,-3.185933,3.159679,-0.321902
2,2,-0.472317,-3.80529,1,-3.33261,-1.474771,0.523297
2,3,-0.961296,-3.59045,2,-2.914414,1.54902,0.905516
2,2,1.647703,-1.420674,2,-3.088106,4.594014,0.084444
1,3,1.055074,-3.114673,1,-3.119069,3.790878,-0.03734
2,3,-0.558396,-2.099699,1,-2.729813,0.201067,-0.020022
2,3,1.785332,-1.002025,2,-3.130646,3.295152,0.379999
1,3,0.770629,-3.705911,2,-2.788651,1.693127,0.878428
1,1,-0.331544,-3.326751,2,-3.058624,0.103821,0.888997
2,3,1.307368,-1.655597,2,-3.269539,0.013904,0.214699
2,3,1.350285,-2.622197,2,-3.277442,1.825405,1.108469
2,3,1.814107,-2.616956,2,-2.985496,2.642818,0.401972
2,3,-0.795723,-0.521224,2,-2.849857,1.334357,0.521503
1,2,-1.648731,-5.102256,2,-3.184468,0.533775,1.004021
2,2,-1.300893,-3.544773,2,-2.960835,-0.985227,0.656649
2,3,1.170285,-3.697392,2,-2.972604,3.182927,0.729852
1,3,0.9362,-3.00357,2,-2.938334,1.503967,0.770601
2,3,0.301028,-1.687892,1,-3.268989,4.341564,0.928357
1,2,1.058684,-3.148229,2,-2.947302,0.563832,0.791398
2,3,-1.379004,-3.827716,2,-3.263006,0.797569,0.624351
2,1,0.508422,-4.072086,1,-3.015263,-0.159217,0.887535
2,3,2.456664,-2.389656,2,-3.191105,0.463157,0.572624
2,3,1.126022,-3.757594,2,-2.924671,2.873927,0.024592
2,3,2.151649,-0.726524,1,-3.133964,-1.584641,0.828038
1,3,0.489504,-2.627464,1,-3.082949,-0.148391,1.132439
1,3,-0.102955,-2.985945,2,-3.219833,4.074101,0.539567
1,2,0.198676,-5.209774,2,-3.182382,1.543223,0.478903
1,3,2.048334,-4.138226,2,-2.80971,-1.20991,0.431146
1,2,0.069183,-1.927297,1,-3.10062,1.506488,-0.240327
2,3,-0.01676,-1.772223,1,-3.149614,-1.980098,0.791393
1,3,0.666319,-2.470747,2,-3.253113,-0.265543,0.660509
2,1,-0.087252,-4.427645,2,-2.812267,1.077121,0.306858
1,3,-0.454601,-3.492684,2,-2.908159,-0.407258,0.169732
2,3,0.873121,-2.885678,2,-2.765787,1.334153,0.800382
2,2,1.005199,-3.758585,2,-3.208012,3.491786,0.194837
1,3,0.674543,-2.649644,2,-2.611835,2.503892,0.385431
1,2,-0.346885,-2.227783,2,-3.06651,0.58908,0.504788
2,2,1.575385,-1.643858,2,-2.751583,-1.241551,-0.287302
2,3,0.319939,-1.155877,1,-2.829216,2.09131,0.673733
2,3,0.345352,-3.342217,2,-3.088649,1.789736,-0.088703
2,3,-0.132965,-2.612023,1,-3.095744,3.572283,0.18185
1,3,-1.808929,-3.790063,2,-2.876199,2.301367,0.758788
2,3,0.075463,-1.661978,2,-2.835758,2.28177,0.104741
2,2,1.694216,-3.260741,1,-2.731326,0.250797,0.094869
2,3,0.789,-2.365255,2,-3.230093,0.592359,0.862766
2,3,-0.332147,-2.048582,2,-3.228168,-0.044712,1.30357
2,2,-0.090017,-4.356737,2,-3.431905,0.067318,0.676082
1,2,1.285175,-4.239891,1,-2.954847,2.897351,0.59278
1,3,-0.717981,-3.502355,1,-3.0029,1.574002,0.433469
2,3,0.677015,-3.368005,2,-3.079354,-0.104887,0.43677
2,2,0.667607,-2.3493,2,-3.391023,1.149385,-0.295478
2,3,0.93337,-1.976132,2,-3.438263,-0.875053,0.356697
2,3,0.178014,-2.894946,2,-2.824093,1.817139,0.980076
2,3,-1.54968,-4.051196,2,-3.203558,1.451288,1.222111
2,3,-0.035686,-3.447162,2,-2.763735,3.686254,-0.04994
1,3,-0.432316,-3.189799,2,-2.747227,1.878957,0.621166
2,3,-0.971582,-1.394831,2,-2.902621,1.349302,0.313032
2,3,-0.289635,-2.53791,1,-3.044842,4.394261,-0.1029
1,1,0.470165,-3.659296,2,-2.795628,1.751532,0.376771
1,2,0.48109,-2.332385,2,-3.257049,0.951598,0.638462
2,3,1.69254,-4.012716,1,-2.942431,2.710581,0.39295
2,3,1.787682,-2.125429,2,-2.986154,1.925074,0.575044
2,3,1.788221,-4.228228,1,-3.133108,2.881207,0.083783
2,2,-0.385112,-3.173515,1,-3.075376,0.130597,0.029052
2,2,0.959634,-4.137641,1,-3.157137,0.571062,-0.139678
2,3,-0.407805,-2.423095,1,-2.28326,3.804565,0.336423
2,2,-0.117588,-3.553544,2,-2.691529,2.398411,0.63547
1,3,-0.991922,-1.471979,1,-2.758703,2.587967,0.183835
2,2,-1.46768,-3.511991,2,-3.283947,2.409459,0.283079
2,3,1.202678,-3.624712,2,-2.898381,1.905992,-0.145526
2,3,-0.224277,-1.911689,2,-2.904935,0.568017,0.470348
2,2,-0.200359,-1.848929,2,-3.318322,1.932612,1.13178
2,3,0.444825,-3.9574,2,-2.973653,-0.123948,0.251232
2,3,0.18356,-2.201981,1,-3.153764,2.075004,0.988621
2,2,0.233047,-3.226734,2,-3.675342,2.055726,0.438621
2,1,2.005857,-3.231613,1,-2.951383,1.766906,0.509951
1,2,0.261062,-5.115447,1,-2.986173,3.838559,0.415208
2,2,-0.040107,-1.471063,2,-2.997045,0.416421,0.15504
2,3,0.041726,-3.398256,1,-2.651424,2.35822,0.7527
1,3,-0.153592,-3.31358,1,-2.972333,1.075887,0.647257
2,2,0.753454,-1.799639,2,-3.257591,1.594382,0.853571
2,1,1.215484,-3.535732,1,-3.013777,-0.381838,0.945069
1,3,0.383236,-1.448474,2,-2.749715,-2.199965,0.265458
1,3,1.638899,-3.686473,1,-2.642652,0.700766,0.719703
2,1,1.940903,-4.417603,1,-2.784671,0.853561,1.512495
2,2,0.750856,-2.715199,2,-2.954578,2.235227,0.384564
2,3,0.012408,-4.757181,1,-3.216896,3.267552,0.078626
2,2,1.024928,-3.001733,2,-3.118146,-0.217139,0.976436
2,2,-1.032592,-1.436521,2,-3.719477,0.452844,0.560808
2,3,1.166263,-1.934918,2,-3.094371,2.826092,0.171415
1,3,1.190293,-2.884602,1,-2.809061,1.97666,0.36617
2,3,-0.696057,-3.309749,1,-3.139432,4.004071,0.444316
2,3,0.563413,-5.087878,1,-2.922025,1.331686,0.167755
2,2,1.482076,-2.023563,2,-2.474997,0.720932,0.756636
1,3,1.778904,-2.106473,2,-3.255724,1.033275,0.312679
2,1,-0.056497,-2.899287,2,-2.660097,2.253831,1.108685
2,3,-0.5903,-2.370445,1,-3.297473,2.064844,0.372196
2,3,-0.121844,-0.516075,1,-2.650681,4.54846,0.252923
2,3,0.895779,-3.260637,1,-2.915726,2.104406,1.134189
2,3,-0.506274,-2.95891,2,-2.641362,1.271076,0.907864
2,1,-0.936738,-4.303864,2,-3.129474,4.043978,0.183748
2,2,-0.580826,-3.308997,2,-3.398431,1.829028,0.195152
2,3,1.175126,-3.951181,2,-3.198675,1.561193,0.070065
1,3,1.312918,-3.55793,1,-2.814305,0.788739,0.132793
1,2,-0.199343,-2.65502,2,-3.223005,0.181217,0.032977
2,3,-0.955418,-2.355709,1,-3.006164,2.160772,0.174293
2,3,0.074076,-5.57721,1,-2.953852,-1.912806,0.444373
2,2,-1.649887,-4.16539,1,-2.916165,2.423875,0.591858
