@relation sea

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute cl {0,1}

@data
5.699204,5.249668,1.107781,0
2.954126,5.622795,9.771353,0
9.939622,3.610586,7.109888,1
1.019791,4.965268,7.280634,0
3.042897,0.483034,2.444682,0
9.592645,8.650779,8.215745,1
2.549714,6.565481,1.891665,1
1.355334,3.267936,5.244552,1
8.517604,6.352333,2.884302,1
1.975127,2.655655,2.388281,0
6.266241,9.498169,0.911622,1
4.463437,8.192257,7.917695,1
8.675291,0.362376,4.011906,0
9.013155,2.227651,7.889081,1
8.793132,9.780746,3.013432,0
3.048683,8.257984,7.203003,1
4.610317,0.087305,3.038017,0
2.742960,5.426298,8.500195,1
4.924467,9.411817,6.295233,1
7.604074,4.212927,6.894238,1
4.575304,0.906144,4.547300,0
3.133795,2.436381,5.151327,0
2.217128,8.164760,2.075391,1
6.422743,9.278395,6.832098,1
9.365700,9.870114,7.618505,1
5.296412,6.118699,1.117861,1
5.530516,7.413093,9.608783,1
1.626021,6.503020,9.413954,1
7.409164,3.961253,9.789783,0
6.397635,4.941110,2.469885,0
3.105869,4.545276,3.880573,1
3.823671,0.712670,0.561673,0
0.582784,8.180178,5.298030,1
4.298877,6.415891,6.100075,1
3.828984,5.708858,2.963982,1
2.211878,2.377935,1.656329,0
6.339189,1.446112,0.164001,0
6.387221,2.633886,1.351585,0
7.179162,5.232157,9.021703,1
5.944828,9.583376,4.192203,1
7.763554,9.490232,2.406808,1
5.906123,8.506884,1.891823,1
4.215741,4.855805,5.190112,1
7.233741,6.846441,6.048662,1
8.292552,6.212663,6.309752,1
8.846549,7.661337,4.172864,1
2.893494,3.194567,7.028543,1
2.777943,1.220745,5.365933,1
0.710978,7.772742,2.603927,1
6.279625,4.495750,6.352208,0
9.351556,1.542320,6.922985,1
8.388761,2.971647,0.158226,0
9.184310,6.467978,1.361087,0
4.129314,5.533951,4.056569,1
8.728518,1.085111,5.861131,0
2.305856,1.227064,2.047957,0
8.999805,4.651885,9.633935,1
9.147635,5.986144,5.774796,1
7.528463,2.697782,5.084487,0
5.669428,5.242712,2.598537,0
1.710690,3.959623,2.884597,0
9.493574,6.941165,2.862813,1
8.026277,8.723944,9.728553,0
9.951008,1.776511,3.348967,0
6.428395,2.982902,4.230244,0
8.969046,0.005040,4.075221,0
2.702822,9.159708,2.414733,1
4.402421,5.013269,3.225989,1
8.972893,6.110586,1.953116,1
3.051751,4.815929,6.688559,1
3.539873,6.417112,1.410161,0
8.193623,4.759128,2.441695,0
7.742030,6.671939,0.198048,0
6.676980,4.273269,3.208585,0
3.432976,5.623317,7.752052,1
0.636587,0.978040,3.948508,0
7.088626,5.901623,8.075947,0
0.717552,4.764506,1.218405,0
1.181619,2.628565,7.748307,1
7.387693,0.190002,3.997260,0
6.861941,4.195307,1.840798,0
8.468576,5.049383,2.918722,0
0.672700,0.670774,9.736949,1
1.648815,3.685457,0.918767,0
9.587079,8.994714,8.877817,0
3.759220,0.096222,4.562057,0
2.724787,2.310364,4.316081,1
2.500367,8.313340,5.242203,1
2.508648,7.083002,2.901229,0
2.132385,5.819952,2.878776,1
6.490726,2.615725,4.114373,0
6.301181,5.033140,6.876981,1
4.027854,5.754798,6.192893,1
5.851021,0.754950,2.727914,0
3.065315,7.043994,8.688289,1
5.357335,3.930492,4.927989,1
1.013494,7.829218,8.843205,1
3.649170,1.721982,5.950964,1
4.337707,0.065337,8.279436,0
5.098477,5.156417,6.527149,1
0.911215,2.720042,6.913405,1
3.474992,9.641319,5.338044,1
6.685314,4.026332,2.105988,0
7.956824,7.033977,9.908630,1
4.863195,8.751836,2.116196,1
0.473818,8.067161,8.652261,1
8.132497,6.931696,5.450412,1
2.088113,1.977561,2.357305,0
4.697602,9.270710,9.761564,1
8.912029,5.099608,4.712900,1
9.125940,6.818888,7.639991,1
3.852865,7.548622,6.053082,1
6.300457,8.169278,7.228425,1
6.236439,5.880686,1.585799,0
2.812382,7.036211,7.599909,1
9.013772,9.957214,7.899824,1
9.227924,7.661387,1.883968,1
2.760995,6.596869,3.737297,1
3.415756,1.377288,8.969700,1
8.925910,5.022782,5.984681,1
3.192060,3.213106,2.000643,0
9.093792,3.586442,3.797435,0
0.622653,1.397344,6.806669,1
1.354558,4.706492,3.347800,0
2.367880,5.231769,8.722436,1
1.828637,2.459733,7.015811,1
3.837021,5.985511,2.513015,1
1.008293,8.497696,7.989298,1
1.710802,9.989941,3.628853,0
3.576382,7.426288,2.710768,1
8.823631,9.517438,3.835461,0
4.223930,7.183261,0.760671,0
2.415030,9.483107,1.720686,1
1.942840,8.736498,9.488062,1
4.722009,2.001076,8.542790,1
0.498773,6.532088,9.930656,1
6.522028,3.559509,3.014170,1
0.985797,5.724938,4.297446,1
5.242376,8.132908,9.987617,1
5.316169,0.748289,6.058117,0
0.231396,7.778803,1.974867,1
6.515301,1.462929,7.954096,1
3.464005,6.496886,6.967612,1
3.028975,6.898268,6.172353,1
0.457777,9.186522,9.649414,1
4.911460,3.946860,1.253002,1
2.079768,1.240620,9.620143,1
1.988909,5.678259,5.127137,1
3.457062,7.102004,4.394541,1
8.564933,2.348637,1.209673,0
8.845523,8.177284,5.991715,1
5.075553,2.164068,1.425501,0
1.350591,1.074915,6.976904,1
5.021775,8.229906,6.415888,1
9.470527,6.036030,4.497480,1
1.714290,9.624617,3.679741,1
6.726621,8.074282,5.143715,1
0.422918,6.353388,7.320491,1
4.530673,3.312206,1.142939,0
5.476274,2.568440,5.139556,0
3.643355,2.116460,3.088917,0
0.346367,9.504805,5.766673,1
5.540835,0.264154,1.276329,0
9.888770,4.956069,2.426477,0
3.030351,7.570192,1.906944,1
3.923580,9.227435,2.721710,1
2.539641,3.864649,8.060478,1
6.433089,3.200034,4.842781,0
5.316494,7.931697,8.741574,1
7.436502,4.508247,5.479754,1
4.772401,6.756083,0.232462,0
1.712152,2.658939,1.276562,0
0.229131,3.183506,8.195772,1
2.410941,0.917482,2.606964,0
4.782131,0.667442,2.966498,0
3.867477,7.809279,1.291664,1
5.740976,0.033238,4.846832,0
4.541486,0.326586,6.154815,0
7.082669,6.387277,3.975058,1
9.046215,5.251621,3.537324,1
8.435127,1.733096,3.428058,1
2.650578,6.035022,5.796651,1
6.702465,8.763149,8.647929,0
6.572428,9.939593,9.753912,1
9.972832,4.600744,5.490882,1
4.927330,1.645698,3.828205,0
8.032974,7.803264,0.804821,1
3.054884,4.342145,6.354537,1
6.075241,9.782595,2.336080,1
5.817616,8.132731,6.158528,1
6.895880,4.806457,3.090022,0
4.746051,2.843934,5.781713,1
7.444678,1.272595,9.233201,1
2.918293,3.061406,4.382008,1
0.864669,5.186830,8.030457,1
9.528975,4.384994,5.409565,1
4.167588,7.745646,4.330035,1
5.878377,0.488563,2.505285,0
5.295020,5.595306,6.242566,0
8.439240,2.024278,4.759953,0
3.296873,3.993155,8.255927,1
7.054561,2.637935,7.166433,1
7.824764,5.196890,1.838784,0
9.581883,7.248349,2.957955,1
4.993995,7.287990,3.734675,0
7.776552,6.239960,3.646629,1
1.835267,9.889194,3.112643,0
1.913473,7.872596,6.158425,1
1.865751,4.414352,1.425512,0
7.052287,8.591946,6.839541,1
3.788836,8.678325,2.230791,1
5.926674,5.188745,7.120191,0
2.476735,0.854866,1.793040,1
7.094826,5.439669,3.324860,1
5.328864,6.437502,9.204600,1
4.310099,5.363026,2.452683,0
9.777378,3.878195,5.096161,1
2.470141,1.935702,1.706717,0
0.614027,3.937508,9.629696,1
9.126254,6.749886,7.461370,1
7.604752,9.254410,1.856277,1
4.694078,5.181137,3.629672,0
1.618639,2.834273,7.265278,1
8.197299,9.717961,2.104587,1
3.596157,7.200748,4.804343,1
9.136450,6.511060,2.325274,1
0.448568,1.954969,6.291179,1
8.704856,3.752548,1.177812,0
3.006958,3.034088,1.009186,0
8.215225,4.638858,7.723979,1
7.473131,4.989257,5.762602,1
4.707219,7.867189,3.645107,1
5.067937,8.449450,4.369673,1
4.960510,6.694946,3.954865,1
8.649916,0.246043,4.983901,0
3.998591,6.161713,3.664379,1
9.195801,4.673565,4.706586,1
9.312424,2.430565,7.244890,1
7.419823,3.007492,2.455984,0
0.874681,6.101091,0.430417,0
4.550541,4.800089,0.147005,0
1.495036,4.101870,4.920129,0
4.347913,9.904030,7.499723,1
6.065743,1.164102,5.352054,0
5.837668,0.058640,2.672570,0
2.489205,9.917459,1.935646,1
2.924951,4.391630,2.036069,0
0.492721,2.466486,9.742249,1
7.266575,9.889254,4.554313,1
3.991124,9.474442,8.906563,1
9.378472,6.406286,6.685541,1
7.570388,2.037595,0.705759,0
2.096236,3.378329,8.558147,1
3.295788,0.493794,4.494469,0
4.885424,6.530538,0.020370,0
8.997025,9.762619,0.421407,1
9.651874,4.975720,5.025210,1
4.450162,3.931773,1.982033,0
0.338059,8.667575,9.272851,1
0.705170,9.978610,1.316503,1
3.356938,9.874651,7.386846,1
0.368444,1.881315,2.873465,0
8.411853,2.893836,0.632013,0
2.656455,1.053420,3.672477,0
6.029140,8.697687,5.951325,0
2.629461,7.933359,4.307938,1
6.600934,3.580789,0.875967,0
3.559398,2.192470,0.107508,0
2.067121,7.494354,3.569063,1
9.375669,6.442529,7.689433,1
9.336365,8.321446,5.196400,1
9.374866,8.868877,4.301148,1
7.566565,0.252473,5.883309,1
8.185832,0.191247,3.163544,0
3.772036,4.039511,2.092868,0
6.231980,2.200377,4.247771,0
9.694731,7.816835,0.734666,1
4.259364,8.424099,6.857923,1
6.745545,2.054322,5.588548,0
0.923200,9.889695,1.524418,1
0.142168,7.407727,8.685788,1
7.598974,1.849333,3.114765,0
5.888844,5.207633,8.702444,1
7.408010,2.950216,0.419925,0
0.767050,1.154591,6.173141,0
9.578690,3.031063,8.622142,1
5.085386,4.210690,2.444646,0
4.100385,3.969064,4.498349,1
1.376790,3.184138,2.570553,0
5.033471,5.685318,0.346774,1
0.892952,9.049219,3.043139,1
1.999434,3.463064,5.403703,1
4.617655,1.576844,7.792899,1
4.607907,6.415041,0.520580,0
0.625730,2.965225,5.701878,1
6.934289,0.200228,8.968668,1
3.384365,1.539221,7.286844,1
7.224540,7.633618,9.340151,1
6.682837,2.383289,6.418454,1
5.846353,1.822156,1.448756,1
3.399000,9.241654,4.660352,1
5.656695,5.180932,7.700200,1
8.146157,3.402078,1.008541,0
3.602305,9.977209,3.391526,1
1.516430,0.678369,5.404507,0
8.311987,4.744658,6.858462,1
7.127946,3.276916,3.677095,0
5.099072,5.125851,3.438306,1
4.367506,8.098659,6.504979,0
3.279590,4.205178,6.306626,1
7.607256,7.315167,6.506194,1
7.292377,9.897719,8.196232,1
0.576088,3.600739,7.549777,1
8.345396,4.408239,3.882899,1
7.685154,7.559994,8.447641,1
2.685845,1.885948,1.282298,0
9.984606,7.787277,7.077551,1
1.992455,3.384177,4.689943,1
0.699345,1.196137,0.809272,0
1.093856,9.005504,6.800528,1
2.606243,4.350305,0.558020,1
8.758544,4.440919,6.424982,1
2.000913,4.872623,9.227924,1
6.758571,0.510223,1.740108,0
8.297500,8.817659,0.007373,0
2.201837,4.697316,9.889665,1
5.893453,0.698937,0.892903,0
9.704441,7.693431,8.657254,1
2.043736,9.215274,3.262323,0
3.656193,9.687304,7.245978,1
4.559927,6.473903,0.343865,0
6.984126,2.083973,8.061674,1
0.901632,8.069047,5.571579,1
2.766363,5.461245,6.004651,1
6.160182,6.897553,5.647126,1
4.590985,4.304380,8.175306,1
3.519654,1.437629,7.437001,1
1.124934,4.682979,2.832954,0
1.156882,3.176819,7.003359,1
5.260792,5.065033,3.422633,1
3.134081,8.994212,9.265893,1
4.455457,5.270544,4.560260,0
2.168097,0.207386,6.480261,0
4.511765,4.655568,3.393802,1
6.093197,0.830803,5.207267,0
5.513782,8.040220,2.902992,1
1.217039,9.906351,4.811671,1
4.971385,8.234304,2.640255,1
7.228517,1.906147,4.005909,0
7.176691,8.566170,2.299613,1
8.773556,8.779874,6.103870,1
3.435442,9.497672,1.316741,1
0.328475,6.524007,6.746770,1
4.564228,9.649762,2.512920,1
9.556113,7.324592,2.259098,1
5.558896,4.899353,2.632964,0
6.805501,6.638873,4.471387,1
5.205043,6.770999,3.326980,1
5.550874,9.430849,7.263919,1
8.928521,8.580660,8.514955,1
5.104667,5.261725,5.099254,1
4.911487,7.612174,5.450162,1
4.936765,7.709261,8.995098,0
2.608614,1.628062,3.283074,0
8.266935,7.754461,3.396306,1
4.525460,6.723285,7.450576,0
6.154135,4.714495,9.062650,1
3.295154,7.577604,4.339653,1
2.839329,9.438906,8.068716,1
7.051080,3.518879,2.218416,0
1.228140,1.213515,2.483507,0
2.841577,5.766581,3.250867,1
3.521041,6.647173,4.580490,1
3.370458,2.031065,8.122835,1
6.745560,7.185485,4.607249,0
4.763089,8.946901,8.440536,1
8.385808,6.509252,5.353235,1
0.028131,7.571651,7.424733,1
8.785166,9.908239,5.093024,1
5.674820,8.343891,2.735254,1
4.991065,7.315743,7.242362,1
9.346809,5.365197,7.886116,1
2.550682,2.493364,6.133084,1
1.440266,4.573619,4.916190,1
1.082872,0.269425,5.262961,0
7.841075,2.687694,2.367274,0
2.595933,7.460298,8.252983,1
5.804189,0.988237,7.466614,0
8.303981,4.708976,9.156776,1
0.074173,7.042892,3.743159,1
9.536256,9.876243,9.938627,0
4.449862,4.854817,0.802594,0
5.124241,6.065555,6.643737,1
8.753249,9.011010,9.591558,1
6.471308,7.844542,9.619935,1
8.832778,7.086549,3.070750,1
1.795525,2.227526,4.787549,0
9.270417,8.530707,4.494554,1
8.406950,4.433180,9.783195,1
9.287997,0.585789,8.389545,1
6.651344,5.033282,7.377555,1
4.044292,6.969114,6.753775,0
4.813655,6.373709,2.791097,1
3.460258,5.861846,0.783192,0
8.089373,5.570741,7.125480,1
4.101448,1.620034,6.166462,0
6.053214,5.949656,5.365209,1
6.535445,3.754755,9.753449,1
8.788037,7.131005,8.591382,1
4.100118,5.345156,3.347930,1
1.718865,6.139026,2.560207,1
2.000873,3.343399,0.434905,1
8.914139,7.560386,7.450035,1
9.180420,3.616498,5.523984,1
9.566154,0.889193,0.574844,0
4.643948,0.328294,9.288389,1
7.459299,7.879771,6.264314,1
3.224927,9.612244,0.473190,1
5.751270,3.033396,0.122915,0
6.376795,0.557821,7.842389,1
8.118207,5.292424,8.306521,1
8.908922,3.830506,2.532260,0
4.719699,3.107104,4.576676,0
3.435398,3.865066,2.795632,1
1.744836,9.059946,2.454113,1
8.672190,2.927303,9.913556,1
5.960700,0.036471,2.175603,0
0.594292,0.017992,7.628429,0
5.310416,5.934951,6.011125,1
9.765457,8.543386,2.694415,1
1.650489,7.271091,3.848803,1
1.136157,6.644434,5.980584,1
5.704380,8.434697,7.850756,1
1.362000,7.764312,8.800030,1
7.800783,0.975634,9.660194,1
0.993626,7.288624,7.107574,1
3.223576,3.118700,0.523380,0
1.662084,3.217795,7.474188,1
0.488887,1.322991,8.398461,1
7.967425,4.379045,4.506036,1
2.813742,2.356793,8.048375,1
0.121105,6.848405,1.498441,1
7.824039,1.158636,6.316964,0
8.447261,3.424538,5.121706,1
6.543237,5.645087,4.659869,1
8.862883,2.134057,1.517896,0
3.457047,9.916357,0.976812,1
4.295402,5.482849,5.096277,1
7.839642,3.144652,1.284885,0
9.993057,2.783327,5.882635,1
3.941963,2.199598,6.634760,1
5.624136,1.756467,4.060060,0
7.401553,8.719929,0.372695,1
0.853985,1.890591,5.616204,0
1.806948,6.593017,5.735505,1
2.075865,0.831782,3.211493,0
3.976434,4.496378,7.876253,1
7.279705,3.758887,1.786588,0
5.958486,8.421348,3.610891,1
0.177814,7.670950,3.749995,1
6.390879,4.122690,3.843803,0
6.013280,9.460008,1.555896,1
6.053024,7.291400,3.922578,1
8.123182,7.134070,8.044395,1
1.630448,5.920649,6.069109,1
9.679536,7.855697,0.131820,0
6.277044,3.742711,7.220643,1
1.413662,0.970637,4.034226,0
5.093327,7.878030,5.049405,1
7.338037,6.605300,8.926836,1
3.896701,2.849414,1.519951,0
9.983484,9.564346,4.119501,1
5.484995,0.188610,0.524085,0
8.044306,0.655906,0.802553,0
4.398617,8.023196,0.776209,1
8.993834,4.810436,3.616820,1
2.688466,8.666224,5.193768,0
5.271524,4.120604,3.417565,0
6.970017,4.937515,1.188110,0
4.501862,5.307611,8.567434,1
5.496221,9.091519,5.151389,1
9.747425,5.953942,7.861877,1
3.977138,8.638086,9.958322,1
3.448522,3.575141,7.058132,1
2.241365,2.251900,6.163491,1
6.372504,9.581056,6.681115,1
4.518571,7.869225,0.296023,1
3.176836,8.863458,9.007291,1
7.954977,4.158680,2.213583,0
0.112622,0.075460,1.848445,0
8.713547,1.806766,7.060732,1
5.381907,4.118865,8.299057,1
6.370765,4.462547,5.136161,1
4.043603,1.817277,6.085791,0
9.686502,6.381814,7.582607,1
5.245272,6.589897,1.536393,1
0.748577,3.749976,0.902651,1
3.825436,2.751096,4.950960,0
4.557862,2.011692,4.701051,0
6.130557,3.000107,7.563041,1
7.462655,2.699202,5.244590,0
4.516479,1.330381,0.068431,0
7.712195,7.651038,7.066318,1
4.240935,8.602711,6.157716,1
2.352687,7.060368,5.850711,1
9.811464,0.801671,8.717105,1
2.813364,3.418155,4.309096,0
6.418262,1.872137,1.445241,0
4.571339,6.689832,5.387175,1
8.020213,5.455606,3.290799,1
3.106643,0.357117,8.689877,1
8.959827,4.847592,2.337090,0
1.907960,8.187801,7.490637,1
8.989472,6.207742,6.088751,1
9.625897,0.397847,0.746756,0
2.269983,2.191998,9.925076,1
8.881829,5.312251,5.929140,1
0.767857,9.219939,2.634451,1
9.577056,1.324327,1.222078,0
6.171919,3.559168,9.849399,1
1.746969,7.340036,9.799304,0
3.547778,5.888055,2.539277,1
6.285902,3.286033,9.217834,1
5.478031,9.142912,5.397207,1
4.455163,1.326348,1.261902,0
0.546287,3.896353,9.097519,0
5.220680,0.319597,8.660226,1
3.878765,8.509624,9.472480,1
5.849660,9.271785,6.362175,1
5.159840,8.901453,2.571114,1
2.187486,1.788949,0.001627,0
0.931860,5.398834,2.025377,0
6.725182,3.287279,0.610042,0
7.183633,9.707561,7.394811,1
0.027158,6.055037,3.796913,1
4.564661,3.269393,9.531656,0
2.541178,5.893831,9.811760,1
4.795284,2.382874,9.146759,1
4.171822,9.148385,4.648287,1
4.547219,6.673664,0.490705,0
9.960943,1.100747,8.543869,1
0.808307,5.938679,9.548889,0
1.993716,3.345802,4.741387,1
6.615196,4.273044,6.972699,1
0.166875,6.784459,6.857390,1
9.167333,6.004149,1.944929,0
5.152535,6.593215,8.442837,1
3.266879,8.933542,0.972155,1
0.034288,9.516024,0.372398,0
5.454703,9.921287,1.678061,1
3.267089,6.419448,4.006796,1
0.692491,0.979494,9.038658,0
7.763953,5.896049,5.821525,1
1.900198,7.766453,0.270441,1
4.359668,8.713278,6.752487,1
7.646820,7.724641,0.854369,1
7.240665,1.226766,8.523704,1
1.148053,0.201764,0.143786,0
6.621212,4.150582,4.297427,1
5.130076,3.336085,8.173069,1
9.232134,3.994594,9.825315,1
1.761047,0.095757,8.185064,1
8.809034,4.937551,3.747263,1
2.662193,4.601632,4.136962,1
5.828398,2.660666,2.598226,0
2.862430,2.742012,1.391594,0
6.892594,5.689021,6.797346,1
9.025105,4.970415,4.916701,1
8.965009,4.742016,9.389571,0
4.837773,7.574636,6.846772,1
2.512187,0.594035,0.102662,0
5.195666,4.239624,5.077238,1
6.900290,7.675463,8.000516,1
0.417475,9.392110,9.246363,1
5.081130,6.043708,9.332740,1
1.014123,4.249441,2.363475,0
8.991457,1.753046,0.705188,0
9.327682,7.551960,7.476038,1
8.145995,7.578700,7.014248,1
1.818324,2.091485,4.365726,0
9.766949,2.366242,8.481334,0
1.758352,7.727697,7.494493,1
3.771405,6.827233,0.945718,0
1.076674,3.309192,4.764661,0
5.062238,5.469849,3.897362,1
3.021810,1.373400,6.229787,0
8.952100,3.244035,4.509467,1
5.335520,8.875193,9.489037,1
1.241436,7.970371,5.286892,1
5.698068,2.781386,9.839270,1
9.608619,0.784987,4.255002,1
4.094179,9.019663,0.753425,1
4.489511,4.650787,3.546337,1
6.024187,9.776124,8.679126,1
3.020159,3.188592,5.746709,1
2.063785,5.235746,3.458148,1
3.206118,8.745041,6.305008,1
1.526426,6.144278,8.373659,1
6.929265,2.628661,1.820338,0
1.648323,2.573763,0.179862,0
7.224550,3.726198,3.649156,0
3.502322,2.328282,8.225022,1
5.516874,3.971732,4.878160,1
9.207479,8.336308,0.885880,1
7.081348,7.190889,1.317781,1
3.335166,9.691441,9.742820,0
2.320101,1.563158,1.287875,0
4.136921,1.467737,0.106259,0
5.193935,3.755415,4.610207,1
6.083697,2.835229,5.218738,1
6.806961,0.096898,9.181231,1
8.433206,0.067111,8.428035,1
7.258000,9.745816,4.122328,0
9.437256,3.865148,0.857598,0
5.428306,2.145473,5.725782,0
3.613210,5.832041,0.926697,0
9.587457,5.536904,7.503402,1
8.372133,2.722139,7.271725,1
2.819037,6.452956,1.193533,0
6.520067,9.621567,6.766796,1
9.367383,0.889124,4.371233,0
4.754272,5.228831,0.561996,1
7.374304,6.287778,9.747804,0
2.119820,0.674501,9.794659,1
6.211404,7.298060,7.378430,1
0.020199,4.650155,9.762631,1
1.103111,0.956164,4.091479,0
0.577731,0.858275,1.401244,0
1.747400,5.772478,8.749752,1
1.001309,9.311749,6.684249,1
5.599527,6.432053,9.363127,1
7.106554,9.157784,9.426622,1
6.455844,6.805053,7.901496,1
1.455207,7.664127,9.315280,1
8.620291,3.406759,0.181495,0
4.265035,1.582740,9.143134,1
7.355217,7.892887,2.514106,1
7.204636,9.198356,6.732139,1
5.630408,6.095265,0.523509,0
5.253050,9.950131,6.054921,1
6.755184,3.956417,8.184937,1
1.620543,7.500217,0.768710,0
0.906977,0.950205,9.438855,1
2.532945,8.581989,1.184445,1
6.474876,3.698551,8.244688,1
2.896907,4.976828,6.483675,1
1.072093,7.007184,1.264277,1
6.957315,7.319198,8.034037,1
1.275615,6.218974,1.922891,1
3.719192,2.691601,3.136992,0
3.641806,2.575847,9.798180,1
1.157836,0.982625,6.062913,0
4.681176,4.307601,1.312224,0
9.284429,7.795899,6.105398,0
4.803082,7.369675,6.681664,1
4.688873,4.715701,5.472898,1
0.934675,7.395789,8.860646,1
0.087390,1.997638,9.280036,1
4.573484,9.078216,9.903947,1
0.060840,5.966860,3.364033,1
0.274462,4.676258,2.320099,0
2.472156,8.425496,9.915413,1
5.795171,6.597077,9.035637,0
1.312778,4.508535,6.448532,1
1.904324,5.309178,6.901320,1
7.306816,6.181356,5.720911,1
5.259571,5.624858,7.611621,1
1.591719,0.975654,0.062427,0
5.651912,2.382526,1.425072,0
0.808023,1.340484,5.399307,0
7.937562,4.434944,7.087239,1
8.943480,3.535771,1.497793,1
8.844949,8.399114,2.839518,1
4.580469,8.560429,8.032065,1
4.185287,5.643686,5.160451,1
6.619340,5.222879,7.643187,1
