@relation 'synthethicVerdande'
@attribute depth real
@attribute gammaDiff real
@data
-2.445175,0.345352
-4.07226,-0.132965
-3.001082,-1.808929
-3.139553,0.075463
-2.599334,1.694216
-2.403171,0.789
-2.11773,-0.332147
-2.150451,-0.090017
-4.663038,1.285175
-2.7281,-0.717981
-2.596005,0.677015
-2.50424,0.667607
-4.652564,0.93337
-4.439641,0.178014
-2.366455,-1.54968
-2.855097,-0.035686
-2.859318,-0.432316
-1.786415,-0.971582
-3.00022,-0.289635
-3.428952,0.470165
-2.673115,0.48109
-2.298653,1.69254
-3.058498,1.787682
-5.0305,1.788221
-2.265893,-0.385112
-4.316635,0.959634
-1.246788,-0.407805
-0.751409,-0.117588
-2.907192,-0.991922
-2.591746,-1.46768
-4.726236,1.202678
-1.651341,-0.224277
1.911074,-0.200359
-0.128219,0.444825
0.05625,0.18356
1.035548,0.233047
3.858904,2.005857
3.499225,0.261062
2.1408,-0.040107
4.574885,0.041726
2.511593,-0.153592
4.137652,0.753454
2.93115,1.215484
3.034253,0.383236
4.38506,1.638899
0.959795,1.940903
0.734226,0.750856
0.33525,0.012408
1.647515,1.024928
0.870965,-1.032592
2.250387,1.166263
-1.372732,1.190293
1.133789,-0.696057
1.420574,0.563413
3.912396,1.482076
2.66271,1.778904
2.562791,-0.056497
1.128999,-0.5903
0.980579,-0.121844
1.588916,0.895779
0.672784,-0.506274
2.600438,-0.936738
2.488496,-0.580826
2.710387,1.175126
1.851056,1.312918
4.425747,-0.199343
1.012896,-0.955418
3.159679,0.074076
-1.474771,-1.649887
1.54902,0.96278
4.594014,1.613534
3.790878,1.778897
0.201067,0.941622
3.295152,1.678105
1.693127,0.047675
0.103821,2.577612
0.013904,0.187638
1.825405,-0.323913
2.642818,-0.216779
1.334357,1.315716
0.533775,-0.27622
-0.985227,0.505579
3.182927,1.38786
1.503967,1.298383
4.341564,0.73311
0.563832,1.876826
0.797569,-0.343778
-0.159217,-0.619589
0.463157,-1.50433
2.873927,2.012599
-1.584641,0.490512
-0.148391,2.088722
4.074101,0.924361
1.543223,-0.558763
-1.20991,-0.139453
1.506488,0.099933
-1.980098,0.921374
-0.265543,2.007575
1.077121,-1.181735
-0.407258,0.234304
1.334153,-0.40807
3.491786,0.796455
2.503892,1.628796
0.58908,1.970974
-1.241551,-0.557804
2.09131,0.513864
1.789736,-0.485943
3.572283,0.418992
2.301367,-1.259984
2.28177,0.580383
0.250797,0.102761
0.592359,0.726824
-0.044712,2.599741
0.067318,0.997497
2.897351,-0.604368
1.574002,0.605629
-0.104887,-0.733014
1.149385,0.785419
-0.875053,-1.346491
1.817139,1.077369
1.451288,-1.716237
3.686254,0.449878
1.878957,1.109171
1.349302,1.193601
4.394261,0.969284
1.751532,0.358334
0.951598,-0.271265
2.710581,1.4112
1.925074,0.754575
2.881207,0.371913
0.130597,0.089556
0.571062,0.094126
3.804565,1.882946
2.398411,0.3345
2.587967,0.527567
2.409459,1.116088
1.905992,0.468195
0.568017,-2.202215
1.932612,0.632644
-0.123948,1.154155
2.075004,0.807863
2.055726,0.306872
1.766906,0.820169
3.838559,0.134592
0.416421,-1.616529
2.35822,-0.81106
1.075887,0.473136
1.594382,1.531266
-0.381838,0.811656
-2.199965,0.529095
0.700766,0.728918
0.853561,1.197578
2.235227,0.853723
3.267552,-0.893745
-0.217139,-2.329893
0.452844,1.123522
2.826092,1.466431
1.97666,0.676753
4.004071,-0.000639
1.331686,0.585867
0.720932,-0.141277
1.033275,2.520142
2.253831,1.107658
2.064844,0.016496
4.54846,-0.439556
2.104406,0.299892
1.271076,-0.228469
4.043978,0.666989
1.829028,-0.673536
1.561193,0.23948
0.788739,0.976396
0.181217,-0.151048
2.160772,0.34181
-1.912806,1.85675
2.423875,-0.917246
1.911074,1.355164
-0.128219,-0.549668
0.05625,1.43613
1.035548,-1.407354
3.858904,-0.012102
3.499225,-0.726413
2.1408,2.46948
4.574885,1.061151
2.511593,1.69646
4.137652,0.574078
2.93115,-1.323105
3.034253,1.198135
4.38506,-0.558273
0.959795,1.382499
0.734226,1.698657
0.33525,-1.023283
1.647515,1.537372
0.870965,0.516407
2.250387,0.095918
-1.372732,-0.237519
1.133789,0.878338
1.420574,1.639311
3.912396,-0.50296
2.66271,-1.08877
2.562791,0.726602
1.128999,-0.677726
0.980579,-0.319866
1.588916,0.906144
0.672784,1.384515
2.600438,1.257277
2.488496,-0.026849
2.710387,-0.209025
1.851056,0.264171
4.425747,0.170933
1.012896,1.273962
3.159679,2.245472
-1.474771,2.110696
1.54902,-0.401127
4.594014,2.600205
3.790878,-0.489624
0.201067,1.470613
3.295152,0.513523
1.693127,2.058582
0.103821,0.664279
0.013904,2.533834
1.825405,0.7207
2.642818,-0.478955
1.334357,-0.134344
0.533775,0.353706
-0.985227,1.489911
3.182927,1.278765
1.503967,1.434334
4.341564,1.056939
0.563832,-0.496472
0.797569,-0.532488
-0.159217,0.739453
0.463157,1.074788
2.873927,0.941194
-1.584641,1.034079
-0.148391,-0.051707
4.074101,0.161862
1.543223,-0.631338
-1.20991,0.692451
1.506488,0.004549
-1.980098,1.482128
-0.265543,1.325058
1.077121,0.052509
-0.407258,0.840891
1.334153,0.122016
3.491786,0.877705
2.503892,2.203206
0.58908,0.238804
-1.241551,0.999948
2.09131,1.67611
1.789736,1.305664
3.572283,-0.140043
2.301367,1.24576
2.28177,1.054689
0.250797,-0.790851
0.592359,-0.192901
-0.044712,1.434933
0.067318,-0.200158
2.897351,-0.304241
1.574002,0.643126
-0.104887,1.008373
1.149385,-0.077318
-0.875053,0.721144
1.817139,-0.985219
1.451288,-0.581649
3.686254,0.406853
1.878957,1.404478
1.349302,0.364998
4.394261,-1.090978
1.751532,0.773527
0.951598,1.655546
2.710581,1.153227
1.925074,0.288544
2.881207,1.973068
0.130597,1.258066
0.571062,0.389803
3.804565,0.52332
2.398411,0.407057
2.587967,-0.364607
2.409459,-0.920826
1.905992,0.27577
0.568017,-0.582235
1.932612,1.797335
-0.123948,0.798644
2.075004,1.308826
2.055726,1.132243
1.766906,0.079594
3.838559,1.475501
0.416421,0.639701
2.35822,0.123833
1.075887,-1.126616
1.594382,1.131212
-0.381838,1.297937
-2.199965,1.63932
0.700766,1.258561
0.853561,2.136295
2.235227,1.257307
3.267552,0.843345
-0.217139,0.058855
0.452844,1.803095
2.826092,-1.403773
1.97666,-0.257849
4.004071,0.092821
1.331686,-0.117226
0.720932,1.846025
1.033275,-0.234911
2.253831,1.859677
2.064844,-0.771799
4.54846,-0.988357
2.104406,0.462242
1.271076,1.612295
4.043978,0.171072
1.829028,0.680832
1.561193,-0.242845
0.788739,1.679749
0.181217,1.296541
2.160772,0.158742
-1.912806,-0.802478
2.423875,0.370773
1.911074,1.469698
-0.128219,0.284982
0.05625,0.043166
1.035548,0.124005
3.858904,0.515121
3.499225,0.110207
2.1408,1.297081
4.574885,0.982673
2.511593,-0.828334
4.137652,-1.094604
2.93115,1.344246
3.034253,0.640527
4.38506,2.435341
0.959795,-0.801734
0.734226,1.044675
0.33525,1.02334
1.647515,1.815517
0.870965,0.308334
2.250387,0.718978
-1.372732,0.975681
1.133789,0.361369
1.420574,-1.068675
3.912396,0.108409
2.66271,1.072914
2.562791,0.048911
1.128999,0.050054
0.980579,0.575103
1.588916,0.17718
0.672784,-1.878384
2.600438,0.879691
2.488496,0.355913
2.710387,2.011071
1.851056,0.084939
4.425747,-0.103456
1.012896,1.559955
3.159679,-0.137853
-1.474771,0.797687
1.54902,-0.561588
4.594014,1.343021
3.790878,0.140819
0.201067,-0.182116
3.295152,1.105909
1.693127,0.213433
0.103821,-0.380324
0.013904,0.785673
1.825405,-0.282499
2.642818,-0.250122
1.334357,1.223067
0.533775,0.879482
-0.985227,-0.93419
3.182927,0.62151
1.503967,-0.699548
4.341564,0.746872
0.563832,-1.54831
0.797569,1.613208
-0.159217,0.910059
0.463157,0.596655
2.873927,1.490719
-1.584641,0.056402
-0.148391,0.620437
4.074101,1.638699
1.543223,0.797899
-1.20991,0.812388
1.506488,0.189744
-1.980098,-0.363863
-0.265543,0.055022
1.077121,-0.351093
-0.407258,-0.632377
1.334153,-0.007178
3.491786,0.388857
2.503892,1.896497
0.58908,-1.488709
-1.241551,-0.022848
2.09131,-0.485925
1.789736,0.022119
3.572283,-0.206971
2.301367,0.527914
2.28177,0.160682
0.250797,2.668523
0.592359,0.4341
-0.044712,-1.288576
0.067318,0.383064
2.897351,0.88251
1.574002,-0.729599
-0.104887,0.124844
1.149385,0.618651
-0.875053,2.11504
1.817139,0.122176
1.451288,1.095407
3.686254,-0.27985
1.878957,1.52141
1.349302,0.606012
4.394261,0.222065
1.751532,0.355702
0.951598,2.951664
2.710581,0.090747
1.925074,1.78942
2.881207,1.364623
0.130597,-1.187968
0.571062,0.646282
3.804565,-0.028036
2.398411,1.127557
2.587967,-0.744783
2.409459,0.990563
1.905992,0.646194
0.568017,1.96557
1.932612,0.588115
-0.123948,0.047575
2.075004,0.003639
2.055726,-0.291973
1.766906,-0.129148
3.838559,1.711981
0.416421,-0.635114
2.35822,0.202831
1.075887,-0.754256
1.594382,1.00364
-0.381838,-0.136957
-2.199965,1.952509
0.700766,1.474519
0.853561,0.411175
2.235227,0.299373
3.267552,0.999963
-0.217139,0.062538
0.452844,1.378588
2.826092,0.914897
1.97666,0.723824
4.004071,0.828859
1.331686,0.521627
0.720932,-0.516792
1.033275,-0.220477
2.253831,0.773957
2.064844,0.321097
4.54846,0.247004
2.104406,-0.380348
1.271076,0.258225
4.043978,1.455419
1.829028,0.51171
1.561193,0.420484
0.788739,1.325619
0.181217,2.389138
2.160772,0.065256
-1.912806,-0.93274
2.423875,1.019926
1.911074,-0.917971
-0.128219,-0.937241
0.05625,-0.350199
1.035548,1.303415
3.858904,1.484856
3.499225,1.945457
2.1408,-0.024427
4.574885,0.422527
2.511593,2.325197
4.137652,-0.171799
2.93115,0.984384
3.034253,0.829802
4.38506,0.067708
0.959795,0.873675
0.734226,0.267426
0.33525,0.701449
1.647515,0.977197
0.870965,0.512493
2.250387,-0.621336
-1.372732,-0.25898
1.133789,-0.291582
1.420574,1.985142
3.912396,-0.166753
2.66271,0.694694
2.562791,-1.371568
1.128999,1.521538
0.980579,1.239719
1.588916,-0.630863
0.672784,0.153725
2.600438,0.880049
2.488496,1.47482
2.710387,-0.503938
1.851056,-1.197629
4.425747,1.437285
1.012896,-0.132516
3.159679,4.007646
-1.474771,-0.058376
1.54902,0.42349
4.594014,1.521491
3.790878,0.285974
0.201067,-0.605965
3.295152,1.850354
1.693127,1.061221
0.103821,-0.306276
0.013904,-0.031974
1.825405,-0.756252
2.642818,-0.469727
1.334357,0.856366
0.533775,1.44236
-0.985227,2.977836
3.182927,-0.088403
1.503967,-1.156848
4.341564,3.122769
0.563832,1.69976
0.797569,-1.534456
-0.159217,-0.076095
0.463157,1.714948
2.873927,0.338441
-1.584641,0.637412
-0.148391,-0.75595
4.074101,2.654288
1.543223,1.549134
-1.20991,1.716365
1.506488,1.049636
-1.980098,-0.573209
-0.265543,0.41609
1.077121,1.195505
-0.407258,-0.053177
1.334153,0.344723
3.491786,1.398653
2.503892,2.803786
0.58908,0.241463
-1.241551,0.49466
2.09131,1.653637
1.789736,0.222412
3.572283,-1.381474
2.301367,1.30378
2.28177,0.068098
0.250797,-0.854027
0.592359,0.743889
-0.044712,0.419742
0.067318,-1.283797
2.897351,2.409878
1.574002,0.055551
-0.104887,1.205648
1.149385,1.036366
-0.875053,0.692449
1.817139,1.655813
1.451288,-0.488709
3.686254,1.251369
1.878957,0.560076
1.349302,2.331233
4.394261,-0.156344
1.751532,0.245421
0.951598,1.963887
2.710581,-0.090929
1.925074,1.888718
2.881207,0.748896
0.130597,-1.11148
0.571062,-0.961118
3.804565,2.679721
2.398411,0.863002
2.587967,-0.483783
2.409459,-0.453307
1.905992,1.041657
0.568017,1.258627
1.932612,-1.130376
-0.123948,1.075973
2.075004,0.50493
2.055726,-0.927254
1.766906,1.318062
3.838559,0.262268
0.416421,0.689162
2.35822,-0.360371
1.075887,-0.220477
1.594382,0.323879
-0.381838,-0.632423
-2.199965,2.040587
0.700766,0.078871
0.853561,1.369423
2.235227,1.172605
3.267552,1.133912
-0.217139,0.297291
0.452844,0.560432
2.826092,2.029525
1.97666,1.064611
4.004071,0.169302
1.331686,-0.667607
0.720932,-1.097494
1.033275,1.042792
2.253831,0.370525
2.064844,-0.049887
4.54846,2.697078
2.104406,-0.056372
1.271076,0.088784
4.043978,0.049997
1.829028,0.563745
1.561193,0.414011
0.788739,0.038969
0.181217,-0.076991
2.160772,1.350026
-1.912806,-0.000863
2.423875,-0.373681
1.911074,0.548773
-0.128219,0.973206
0.05625,0.433037
1.035548,-1.079857
3.858904,1.213732
3.499225,0.918424
2.1408,0.308163
4.574885,0.32465
2.511593,-0.162312
4.137652,0.776273
2.93115,0.703735
3.034253,0.985503
4.38506,0.133311
0.959795,-1.440583
0.734226,1.761291
0.33525,1.144152
1.647515,-1.291382
0.870965,2.04466
2.250387,-1.040233
-1.372732,-0.976889
1.133789,-0.013673
1.420574,0.329373
3.912396,1.479659
2.66271,0.602132
2.562791,0.752913
1.128999,0.382151
0.980579,-0.896485
1.588916,1.951109
0.672784,-1.320523
2.600438,0.870352
2.488496,1.427343
2.710387,0.007489
1.851056,0.233652
4.425747,0.453913
1.012896,0.007215
3.159679,-2.443201
-1.474771,0.765019
1.54902,0.833848
4.594014,2.962949
3.790878,-0.319243
0.201067,-0.277361
3.295152,0.080182
1.693127,-0.600752
0.103821,-1.652838
0.013904,0.062977
1.825405,-0.375558
2.642818,1.069651
1.334357,-0.549429
0.533775,1.011713
-0.985227,1.386266
3.182927,0.794258
1.503967,-0.820892
4.341564,-0.346724
0.563832,1.486984
0.797569,-0.394471
