@relation 'synthethicDataCajaMar'

@attribute V_LAT_SIGMA real
@attribute V_LAT_MEAS real
@attribute O_LAT_SIGMA real
@attribute O_LAT_MEAS real

@data
1.251401,-3.738394,-2.74273,2.338905
-0.175897,-4.582093,-2.678628,2.510005
1.319016,-1.684643,-3.515269,2.199757
-0.593263,-1.319689,-3.231202,3.037059
0.587391,-2.550854,-2.933572,2.225072
0.780296,-3.232792,-3.336692,2.270036
2.50767,-3.312723,-2.838137,-1.260616
0.402848,-2.492607,-3.038385,1.015019
-0.02626,-2.021811,-2.980332,4.01745
0.018289,-4.360072,-3.025721,1.276186
1.447809,-1.395596,-3.403231,2.803521
0.876703,-3.479443,-3.131102,0.789999
2.301797,-3.694295,-2.813279,2.097806
1.640374,-2.649655,-2.508783,2.448357
0.363958,-3.077479,-3.055707,0.79254
0.157638,-2.269204,-2.632704,5.188051
-2.632509,-1.692186,-2.926113,1.963654
-0.284729,-1.179535,-2.949688,1.338505
0.916182,-5.010666,-2.992861,1.469322
1.658361,-2.868723,-3.102758,0.458636
1.73984,-2.144685,-3.01527,0.168798
1.230899,-2.459808,-3.372823,1.554251
1.522531,-1.553307,-3.210437,-1.760208
0.050266,-2.833906,-3.082393,3.640393
0.642758,-2.988578,-2.810584,2.406975
0.285042,-2.473276,-3.300724,1.242936
-0.120178,-1.934785,-2.830191,-0.080145
0.896541,-1.90662,-3.169888,4.465408
2.30434,-3.540507,-2.778454,2.302192
0.065272,-3.835518,-2.877924,1.467519
2.871232,-3.600156,-2.814805,0.837742
2.334501,-2.326366,-3.163742,1.676919
1.623788,-2.922321,-3.076678,2.209032
-0.003978,-2.501109,-2.808672,2.734104
1.086533,-2.579653,-3.2707,1.736639
-1.563159,-4.25195,-2.823513,2.47071
-1.071512,-1.671837,-3.1783,0.212942
-0.094597,-1.369726,-2.884306,1.135581
1.074143,-3.248188,-2.737664,1.403595
1.303539,-4.132702,-3.233757,-0.293528
1.721394,-1.929141,-3.194195,-0.519607
2.846978,-2.495725,-3.191251,1.935933
-0.065862,-3.230195,-3.171581,2.646324
0.264497,-3.417058,-2.81181,1.230108
1.078876,-1.138792,-3.217635,-0.354214
0.114156,-4.958952,-3.28653,2.741642
0.38791,-4.768672,-3.184503,1.503066
0.99951,-4.662007,-3.065129,-1.371515
1.59075,-3.487362,-3.306016,-0.117607
0.362733,-2.529743,-3.003322,-1.137473
0.094099,-3.478705,-3.171145,1.436874
0.219223,-3.510144,-3.126713,1.730634
-0.455704,-3.444361,-3.257551,0.9707
-1.859441,-0.894742,-2.808895,1.569262
-1.360556,-2.673887,-3.092981,2.210426
0.303789,-2.503055,-3.186674,1.635602
0.340549,-2.760565,-2.963707,1.569042
0.40863,-3.159446,-2.870398,1.419532
0.640187,-3.08936,-2.979899,0.645917
1.524377,-2.805881,-3.199028,0.616413
-0.066279,-3.964132,-2.591327,0.723357
0.526304,-2.772382,-3.076983,1.176567
1.421752,-3.631825,-2.864156,1.301685
-0.73857,-2.142297,-3.360338,0.862909
-0.904122,-1.604454,-3.24701,0.972394
2.121021,-2.894768,-2.661402,2.462104
0.932805,-1.639152,-2.938275,1.472685
2.791692,-2.573641,-2.854823,-2.577052
0.975914,-2.102993,-3.03521,2.003494
1.432146,-2.489942,-2.893853,0.95216
-0.46952,-1.36314,-2.808752,1.89878
-0.693093,-4.318707,-2.981813,3.150778
1.138172,-3.185075,-2.577105,0.779348
1.476206,-3.20667,-3.353448,4.115497
1.516015,-2.808642,-3.493113,1.28001
0.659427,-2.556394,-3.223115,3.158594
0.536209,-2.254262,-3.008939,3.165046
1.067452,-2.625515,-2.983862,2.444892
0.85579,-1.941799,-2.827758,2.946947
-0.423174,-1.575606,-3.025432,-0.480882
-0.443841,-2.890236,-2.95322,3.261455
-0.291685,-3.724801,-2.487324,-0.782835
1.712304,-3.851393,-3.412204,2.0521
1.542942,-2.071705,-3.092026,3.141451
-0.034649,-2.181437,-2.9345,0.07313
0.34131,-1.24958,-2.988816,-0.797977
0.033304,-2.36295,-3.08843,2.185236
0.29127,-2.332683,-2.680952,0.830381
0.180113,-2.766514,-3.138314,-0.42139
0.227348,-1.499706,-3.079838,0.985892
2.451119,-2.783233,-3.435324,2.256476
1.009033,-2.887631,-2.834942,2.049825
1.05383,-3.720006,-2.47607,1.143656
2.009335,-4.448208,-2.781768,-1.277297
-0.835197,-2.078805,-2.809594,1.467207
0.017772,-2.796615,-3.078243,0.088049
-0.154377,-3.716569,-2.845996,3.83611
0.782965,-3.518004,-3.070834,2.365208
2.34352,-3.500454,-2.864601,1.767478
0.807776,-2.186885,-3.198962,1.866687
0.131062,-2.195528,-2.79248,1.902632
-0.205397,-3.694107,-3.036304,0.53078
1.455692,-2.944512,-2.811656,1.238076
1.285544,-2.443359,-3.150026,2.431592
1.687211,-3.799803,-2.661592,-0.044053
1.781247,-4.460581,-3.069642,1.368004
0.332483,-3.526602,-3.313927,1.709095
1.577751,-1.123106,-3.177039,3.372959
1.235603,-2.880516,-3.411489,0.602936
0.031258,-2.969188,-3.517964,2.051583
0.328267,-0.687796,-2.631762,0.557321
0.753676,-3.893554,-3.340797,0.81525
-0.985655,-2.753642,-2.609807,0.646384
0.081035,-2.977477,-2.673126,1.435356
-0.993317,-3.000455,-2.987682,1.721497
-0.788131,-4.971567,-2.926538,1.831833
-0.978795,-1.565104,-2.76793,-0.420396
0.932207,-3.013132,-2.972594,1.615414
0.858627,-2.00771,-2.778393,0.325657
-0.985377,-4.014832,-2.708532,0.894377
2.225103,-2.652373,-2.583563,1.180901
-0.5239,1.079488,-3.047684,1.726675
-1.251713,-1.975406,-2.992013,0.859318
-1.022434,-1.922831,-2.79723,1.023103
-1.069308,-4.233674,-3.257273,-0.353861
-0.065976,-1.760833,-2.89665,-0.441862
2.135656,-2.153759,-2.975608,0.45858
0.576236,-3.81025,-2.999603,3.437736
1.248676,-1.253264,-3.006783,0.364257
0.450099,-3.508816,-3.080374,2.71874
0.45241,-3.297195,-2.845529,-0.667743
1.024663,-4.372232,-3.412864,0.13423
-1.129405,-2.05887,-3.181186,1.779557
1.818599,-4.057506,-2.677883,1.975626
0.855969,-2.616251,-3.297541,0.935806
0.116167,-3.457195,-3.289554,1.228489
1.197809,-3.305321,-3.086049,0.770243
0.294286,-5.671356,-3.224465,0.452974
-0.853299,-4.915276,-2.699212,2.773973
1.105049,-2.297636,-2.9775,-1.179755
0.815512,-2.714645,-3.148231,1.399045
-0.068212,-3.019234,-2.925502,-0.025327
1.22197,-2.933444,-3.08842,-0.37999
1.15678,-2.959284,-2.966539,2.48595
-0.141838,-2.536311,-2.742434,-0.631362
1.318501,-4.217255,-2.882082,1.598652
1.588921,-3.957742,-2.716503,1.458263
1.400045,-3.166362,-2.787275,0.546977
0.499984,-1.930162,-3.472447,0.775651
0.96618,-2.256772,-3.79687,-0.645153
-1.156413,-1.429248,-3.517455,1.666043
-0.656555,-1.844689,-3.043744,1.390096
0.753833,-3.066141,-3.227112,2.371552
-0.793651,-4.16544,-3.102773,-0.135498
1.18954,-2.329818,-3.021237,0.390523
-0.072439,-2.445175,-2.95701,1.023027
-0.076748,-4.07226,-2.556156,1.379984
2.395482,-3.001082,-3.101005,3.709803
0.888196,-3.139553,-3.143886,1.707435
-0.357088,-2.599334,-3.038279,2.639081
1.263877,-2.403171,-3.19764,4.505672
-0.116215,-2.11773,-3.005686,1.114874
0.391881,-2.150451,-3.222632,5.592318
0.72494,-4.663038,-3.179059,0.495097
-0.001254,-2.7281,-2.97859,1.358301
0.599439,-2.596005,-2.529392,3.713452
1.275517,-2.50424,-3.543376,2.883535
-1.034787,-4.652564,-3.289114,1.357508
1.316767,-4.439641,-3.118297,0.973205
1.687402,-2.366455,-3.031636,-0.556487
-0.147313,-2.855097,-3.009859,1.651226
-0.613568,-2.859318,-2.757058,0.377924
-0.023987,-1.786415,-3.071875,1.959611
1.146554,-3.00022,-3.215327,2.643863
1.860095,-3.428952,-3.010778,2.546805
1.348987,-2.673115,-3.063628,-0.709619
0.551192,-2.298653,-2.829585,2.500675
1.045699,-3.058498,-3.189381,1.964778
2.279159,-5.0305,-2.87461,1.936672
-1.175424,-2.265893,-3.227456,-1.942446
0.973642,-4.316635,-3.064975,2.086651
0.527844,-1.246788,-3.011063,-0.248701
0.425701,-0.751409,-3.122009,2.827925
1.435689,-2.907192,-2.967109,0.759144
0.43211,-2.591746,-3.23843,0.553551
0.62303,-4.726236,-2.569289,1.832572
0.08827,-1.651341,-2.85679,1.796912
-0.259042,-1.974146,-2.975646,1.970038
2.983201,-3.25321,-3.032044,1.482801
1.107456,-3.292612,-3.099757,1.046734
-0.794442,-1.490856,-2.428433,1.233974
1.318848,-1.837334,-3.101212,1.998475
1.594149,-3.556507,-2.858171,2.669677
0.268916,-3.637496,-2.725195,3.523062
0.400233,-2.297117,-2.788793,1.639267
2.014205,-3.172099,-3.074533,-0.637283
1.300727,-3.5302,-2.783093,0.782753
0.487999,-2.211471,-2.695108,1.992497
-0.336636,-2.146488,-3.182955,0.435581
0.995469,-5.087598,-3.133359,-0.56604
1.200363,-2.528067,-2.688874,1.19895
-0.171802,-2.123533,-3.317254,-0.241835
0.01775,-3.993135,-3.452372,0.221033
0.606457,-2.682485,-2.894707,1.911074
0.03168,-4.485862,-2.865247,-0.128219
0.236918,-2.880182,-3.178602,0.05625
0.502766,-4.559972,-3.295042,1.035548
-0.272624,-3.973704,-3.476458,3.858904
-0.566014,-1.90428,-2.937038,3.499225
0.910457,-2.937041,-3.713707,2.1408
0.15432,-1.148925,-3.218686,4.574885
-0.633719,-2.648366,-2.705842,2.511593
0.34374,-3.409335,-2.758562,4.137652
1.007084,-4.459975,-3.24129,2.93115
0.323177,-0.956199,-3.204979,3.034253
0.824849,-2.933377,-3.509532,4.38506
-0.393092,-3.814997,-3.054328,0.959795
-0.194004,-2.669519,-2.690388,0.734226
0.442843,-0.797754,-2.59629,0.33525
1.8575,-1.889767,-2.629014,1.647515
-0.173898,-2.858286,-3.298705,0.870965
1.197441,-3.460898,-2.8371,2.250387
1.37561,-4.098651,-3.079663,-1.372732
1.80071,-2.002514,-3.605715,1.133789
-1.19552,-2.426873,-2.944966,1.420574
-0.078699,-3.341764,-2.87579,3.912396
1.074741,-4.691909,-2.824532,2.66271
-0.047051,-3.224184,-2.891784,2.562791
-0.001521,-3.67192,-2.776235,1.128999
2.138855,-2.414147,-2.760106,0.980579
1.154677,-2.653595,-3.048495,1.588916
0.934214,-4.55043,-3.041325,0.672784
2.198768,-2.81955,-3.187334,2.600438
-0.365246,-3.227197,-3.243031,2.488496
-0.303471,-2.517752,-2.871018,2.710387
0.563687,-2.380696,-3.073249,1.851056
1.848877,-3.336573,-2.763286,4.425747
-0.192287,-3.031056,-3.352364,1.012896
-2.144812,-1.566217,-3.185933,3.159679
-0.472317,-3.80529,-3.33261,-1.474771
-0.961296,-3.59045,-2.914414,1.54902
1.647703,-1.420674,-3.088106,4.594014
1.055074,-3.114673,-3.119069,3.790878
-0.558396,-2.099699,-2.729813,0.201067
1.785332,-1.002025,-3.130646,3.295152
0.770629,-3.705911,-2.788651,1.693127
-0.331544,-3.326751,-3.058624,0.103821
1.307368,-1.655597,-3.269539,0.013904
1.350285,-2.622197,-3.277442,1.825405
1.814107,-2.616956,-2.985496,2.642818
-0.795723,-0.521224,-2.849857,1.334357
-1.648731,-5.102256,-3.184468,0.533775
-1.300893,-3.544773,-2.960835,-0.985227
1.170285,-3.697392,-2.972604,3.182927
0.9362,-3.00357,-2.938334,1.503967
0.301028,-1.687892,-3.268989,4.341564
1.058684,-3.148229,-2.947302,0.563832
-1.379004,-3.827716,-3.263006,0.797569
0.508422,-4.072086,-3.015263,-0.159217
2.456664,-2.389656,-3.191105,0.463157
1.126022,-3.757594,-2.924671,2.873927
2.151649,-0.726524,-3.133964,-1.584641
0.489504,-2.627464,-3.082949,-0.148391
-0.102955,-2.985945,-3.219833,4.074101
0.198676,-5.209774,-3.182382,1.543223
2.048334,-4.138226,-2.80971,-1.20991
0.069183,-1.927297,-3.10062,1.506488
-0.01676,-1.772223,-3.149614,-1.980098
0.666319,-2.470747,-3.253113,-0.265543
-0.087252,-4.427645,-2.812267,1.077121
-0.454601,-3.492684,-2.908159,-0.407258
0.873121,-2.885678,-2.765787,1.334153
1.005199,-3.758585,-3.208012,3.491786
0.674543,-2.649644,-2.611835,2.503892
-0.346885,-2.227783,-3.06651,0.58908
1.575385,-1.643858,-2.751583,-1.241551
0.319939,-1.155877,-2.829216,2.09131
0.345352,-3.342217,-3.088649,1.789736
-0.132965,-2.612023,-3.095744,3.572283
-1.808929,-3.790063,-2.876199,2.301367
0.075463,-1.661978,-2.835758,2.28177
1.694216,-3.260741,-2.731326,0.250797
0.789,-2.365255,-3.230093,0.592359
-0.332147,-2.048582,-3.228168,-0.044712
-0.090017,-4.356737,-3.431905,0.067318
1.285175,-4.239891,-2.954847,2.897351
-0.717981,-3.502355,-3.0029,1.574002
0.677015,-3.368005,-3.079354,-0.104887
0.667607,-2.3493,-3.391023,1.149385
0.93337,-1.976132,-3.438263,-0.875053
0.178014,-2.894946,-2.824093,1.817139
-1.54968,-4.051196,-3.203558,1.451288
-0.035686,-3.447162,-2.763735,3.686254
-0.432316,-3.189799,-2.747227,1.878957
-0.971582,-1.394831,-2.902621,1.349302
-0.289635,-2.53791,-3.044842,4.394261
0.470165,-3.659296,-2.795628,1.751532
0.48109,-2.332385,-3.257049,0.951598
1.69254,-4.012716,-2.942431,2.710581
1.787682,-2.125429,-2.986154,1.925074
1.788221,-4.228228,-3.133108,2.881207
-0.385112,-3.173515,-3.075376,0.130597
0.959634,-4.137641,-3.157137,0.571062
-0.407805,-2.423095,-2.28326,3.804565
-0.117588,-3.553544,-2.691529,2.398411
-0.991922,-1.471979,-2.758703,2.587967
-1.46768,-3.511991,-3.283947,2.409459
1.202678,-3.624712,-2.898381,1.905992
-0.224277,-1.911689,-2.904935,0.568017
-0.200359,-1.848929,-3.318322,1.932612
0.444825,-3.9574,-2.973653,-0.123948
0.18356,-2.201981,-3.153764,2.075004
0.233047,-3.226734,-3.675342,2.055726
2.005857,-3.231613,-2.951383,1.766906
0.261062,-5.115447,-2.986173,3.838559
-0.040107,-1.471063,-2.997045,0.416421
0.041726,-3.398256,-2.651424,2.35822
-0.153592,-3.31358,-2.972333,1.075887
0.753454,-1.799639,-3.257591,1.594382
1.215484,-3.535732,-3.013777,-0.381838
0.383236,-1.448474,-2.749715,-2.199965
1.638899,-3.686473,-2.642652,0.700766
1.940903,-4.417603,-2.784671,0.853561
0.750856,-2.715199,-2.954578,2.235227
0.012408,-4.757181,-3.216896,3.267552
1.024928,-3.001733,-3.118146,-0.217139
-1.032592,-1.436521,-3.719477,0.452844
1.166263,-1.934918,-3.094371,2.826092
1.190293,-2.884602,-2.809061,1.97666
-0.696057,-3.309749,-3.139432,4.004071
0.563413,-5.087878,-2.922025,1.331686
1.482076,-2.023563,-2.474997,0.720932
1.778904,-2.106473,-3.255724,1.033275
-0.056497,-2.899287,-2.660097,2.253831
-0.5903,-2.370445,-3.297473,2.064844
-0.121844,-0.516075,-2.650681,4.54846
0.895779,-3.260637,-2.915726,2.104406
-0.506274,-2.95891,-2.641362,1.271076
-0.936738,-4.303864,-3.129474,4.043978
-0.580826,-3.308997,-3.398431,1.829028
1.175126,-3.951181,-3.198675,1.561193
1.312918,-3.55793,-2.814305,0.788739
-0.199343,-2.65502,-3.223005,0.181217
-0.955418,-2.355709,-3.006164,2.160772
0.074076,-5.57721,-2.953852,-1.912806
-1.649887,-4.16539,-2.916165,2.423875
0.96278,-3.707792,-2.925251,2.723428
1.613534,-2.957552,-2.915373,0.202429
1.778897,-3.217177,-2.94481,-0.313723
0.941622,-3.290287,-3.12634,1.597761
1.678105,-3.337647,-3.192894,0.941537
0.047675,-2.850017,-2.655567,2.778214
2.577612,-4.008362,-3.115528,1.114576
0.187638,-1.805886,-2.533394,2.443655
-0.323913,-5.53069,-3.031654,0.927479
-0.216779,-2.137492,-2.933315,1.988087
1.315716,-3.861958,-3.196203,1.427092
-0.27622,-2.180207,-2.687904,1.064676
0.505579,-3.197512,-2.839218,1.556656
1.38786,-2.981548,-2.714651,1.699232
1.298383,-3.322214,-3.107509,-0.127729
0.73311,-2.681384,-2.741593,-0.385531
1.876826,-2.259204,-2.701328,2.666995
-0.343778,-3.359684,-2.890077,2.743333
-0.619589,-2.634917,-2.915256,2.382105
-1.50433,-3.456224,-2.78863,0.173568
2.012599,-2.495943,-3.136199,3.135129
0.490512,-3.215602,-3.138758,1.288956
2.088722,-2.517007,-2.864483,2.542549
0.924361,-2.569054,-3.06451,0.712942
-0.558763,-2.233318,-3.240238,1.582676
-0.139453,-2.061772,-3.224974,3.617211
0.099933,-0.843497,-3.354171,0.579538
0.921374,-3.757661,-3.160421,-2.236447
2.007575,-2.751015,-2.673734,1.430857
-1.181735,-2.795042,-3.164968,2.624125
0.234304,-1.51042,-3.150916,3.028852
-0.40807,-1.277206,-3.343724,0.05719
0.796455,-3.799118,-3.202409,1.671262
1.628796,-2.934284,-3.13561,1.138655
1.970974,-3.165855,-2.988595,-0.032783
-0.557804,-3.651523,-3.458014,-0.588843
0.513864,-2.649636,-3.172502,2.124522
-0.485943,-3.134941,-2.761656,1.537447
0.418992,-3.38882,-2.68553,-1.203008
-1.259984,-1.698701,-2.92588,1.603873
0.580383,-2.938841,-2.863241,1.049464
0.102761,-2.841676,-3.32593,0.532927
0.726824,-3.945715,-2.601987,0.654201
2.599741,-3.936181,-3.032901,2.190951
0.997497,-2.597303,-2.552414,2.815779
-0.604368,-3.862706,-3.11333,2.758938
0.605629,-4.903438,-2.704613,-0.793325
-0.733014,-4.174644,-2.861712,-0.058034
0.785419,-4.326522,-2.203799,2.596852
-1.346491,-4.989231,-3.051685,3.139254
1.077369,-3.400871,-2.64844,3.90355
-1.716237,-4.237794,-3.011064,1.897522
0.449878,-1.632637,-3.267931,2.721877
1.109171,-3.130362,-3.019154,-0.083385
1.193601,-1.578361,-3.114039,2.598934
0.969284,-2.806115,-2.780011,1.772511
0.358334,-2.786654,-3.153574,0.836263
-0.271265,-3.009192,-2.807083,0.649047
1.4112,-3.523837,-3.342456,0.013389
0.754575,-4.619374,-3.070516,3.713115
0.371913,-4.7353,-3.000217,1.848884
0.089556,-3.511613,-3.311432,2.273655
0.094126,-2.620935,-2.982694,2.005528
1.882946,-3.37897,-3.128,1.282141
0.3345,-3.482075,-2.961579,3.434257
0.527567,-2.120597,-3.317899,2.377471
1.116088,-3.174261,-2.797018,3.589454
0.468195,-4.723224,-2.906836,2.0689
-2.202215,-2.625532,-3.580589,2.377143
0.632644,-4.177273,-3.163517,1.729185
1.154155,-2.760737,-2.785588,0.54678
0.807863,-2.219472,-2.569423,1.780912
0.306872,-2.153207,-2.845548,0.702716
0.820169,-2.547277,-2.961588,-0.044196
0.134592,-2.453595,-2.865309,1.525122
-1.616529,-2.774375,-3.49169,3.419668
-0.81106,-4.473718,-2.918378,3.884884
0.473136,-0.926437,-3.256641,0.463502
1.531266,-3.035506,-2.894322,0.767712
0.811656,-4.050626,-2.697238,3.415317
0.529095,-2.890153,-2.813303,0.984978
0.728918,-3.372492,-3.076883,3.356572
1.197578,-4.36014,-3.156063,-0.069379
0.853723,-2.629071,-3.246994,2.468201
-0.893745,-3.513513,-3.383422,1.454446
-2.329893,-2.681937,-2.911902,2.784147
1.123522,-2.778397,-2.739636,1.908422
1.466431,-4.009297,-3.167172,1.084481
0.676753,-3.003688,-3.231337,-0.425309
-0.000639,-3.670922,-3.078703,1.373301
0.585867,-3.750641,-2.993646,1.206218
-0.141277,-1.984158,-3.098841,0.543034
2.520142,-1.452292,-2.926548,-0.218944
1.107658,-3.109246,-2.976784,-0.426771
0.016496,-3.108129,-2.762318,1.686653
-0.439556,-2.66785,-2.594562,1.645155
0.299892,-2.617435,-2.879144,1.412577
-0.228469,-3.200808,-2.955443,-0.831082
0.666989,-1.787855,-3.060931,1.507629
-0.673536,-2.1611,-3.361857,3.462163
0.23948,-4.557676,-3.134726,2.26529
0.976396,-3.595741,-2.826597,-0.171091
-0.151048,-2.310704,-2.977215,0.777375
0.34181,-4.656077,-3.136186,2.629106
1.85675,-4.689695,-2.791104,2.944445
-0.917246,-2.000388,-3.282775,2.017732
1.355164,-1.850169,-3.306717,0.732559
-0.549668,-2.471965,-2.966636,2.152402
1.43613,-2.073501,-3.209845,1.418098
-1.407354,-2.090377,-2.865219,-2.535541
-0.012102,-4.706919,-2.907728,2.463668
-0.726413,-3.633673,-3.104062,1.771446
2.46948,-1.993495,-2.790814,0.891986
1.061151,-3.290817,-3.080778,1.308666
1.69646,-4.843014,-3.227185,0.947161
0.574078,-3.439198,-3.293985,3.924478
-1.323105,-2.154607,-3.241534,3.394446
1.198135,-4.217762,-3.28958,2.862783
-0.558273,-3.069362,-2.538567,-0.436277
1.382499,-3.308385,-2.938076,0.861463
1.698657,-1.884346,-2.760107,-2.012925
-1.023283,-3.080697,-3.200204,-1.368877
1.537372,-2.359532,-2.912095,3.692934
0.516407,-3.75762,-2.904924,3.735985
0.095918,-4.270611,-3.078277,1.408275
-0.237519,-1.616747,-2.999497,3.625347
0.878338,-3.464198,-3.033987,1.683492
1.639311,-2.466146,-2.923653,3.642911
-0.50296,-2.610075,-3.560819,0.114545
-1.08877,-4.100684,-3.23081,-1.200843
0.726602,-3.594348,-3.081405,0.799005
-0.677726,-3.324897,-2.948018,1.573781
-0.319866,-2.655758,-3.009764,2.322997
0.906144,-1.271454,-2.890905,3.232143
1.384515,-3.109608,-3.366379,2.204513
1.257277,-3.207413,-3.215419,0.74474
-0.026849,-3.227282,-3.474227,0.678456
-0.209025,-5.492518,-2.939514,-1.063416
0.264171,-4.146071,-2.744875,-0.66099
0.170933,-3.533341,-3.463835,-0.979118
1.273962,-4.182621,-2.580995,2.77386
2.245472,-2.899273,-3.387218,-0.409857
2.110696,-3.95563,-2.932592,1.919425
-0.401127,-1.201173,-3.45751,2.075651
2.600205,-3.353564,-3.012923,0.302581
-0.489624,-3.43791,-2.973964,0.377094
1.470613,-4.769933,-3.181272,1.607184
0.513523,-1.107354,-2.889928,1.152966
2.058582,-2.421788,-3.067317,3.561518
0.664279,-3.253378,-2.551184,1.480324
2.533834,-1.512523,-3.55511,2.444821
0.7207,-2.474161,-2.730232,-0.416371
-0.478955,-5.613132,-3.261979,-0.764848
-0.134344,-3.31087,-2.910882,4.01974
0.353706,-0.914083,-2.770743,0.085189
1.489911,-3.560485,-2.706864,0.334774
1.278765,-4.588166,-2.947643,2.913731
1.434334,-4.40795,-3.46178,-0.580163
1.056939,-1.90956,-3.213714,2.858358
-0.496472,-1.870229,-2.92958,0.723015
-0.532488,-3.575407,-3.325882,1.051093
0.739453,-4.628121,-3.084796,0.088286
1.074788,-2.843157,-3.284832,0.421857
0.941194,-2.648033,-2.944389,3.597469
1.034079,-2.243333,-3.324987,0.872669
-0.051707,-2.725611,-2.669894,2.537635
0.161862,-3.23089,-2.858599,0.616756
-0.631338,-2.259547,-2.393186,1.269581
0.692451,-3.800845,-2.584916,2.681519
0.004549,-1.724245,-2.631856,3.135037
1.482128,-2.607744,-3.064669,1.609039
1.325058,-2.736706,-3.05556,1.333399
0.052509,-5.224029,-3.161561,0.753633
0.840891,-4.971691,-3.039433,-1.299139
0.122016,-3.068858,-3.098392,0.337519
0.877705,-2.409269,-2.936677,1.63996
2.203206,-3.369722,-2.972205,1.420155
0.238804,-2.225411,-3.211747,3.209387
0.999948,-2.249521,-2.866571,2.857281
1.67611,-1.590291,-3.425501,2.703643
1.305664,-3.420965,-3.001584,3.015976
-0.140043,-2.02926,-3.067432,0.50252
1.24576,-4.393555,-3.294609,1.835586
1.054689,-3.827881,-2.918721,4.89829
-0.790851,-2.641951,-3.489485,1.143825
-0.192901,-2.554443,-3.074743,-1.305981
1.434933,-3.437363,-2.901131,1.988167
-0.200158,-1.079664,-3.464555,2.067481
-0.304241,-2.288445,-2.912209,1.921339
0.643126,-3.645283,-3.032174,0.794629
1.008373,-4.557886,-2.938102,2.722597
-0.077318,-4.995481,-2.979037,3.22982
0.721144,-1.997249,-3.170147,1.717961
-0.985219,-2.504603,-2.842276,1.250557
-0.581649,-1.537026,-3.253117,-0.616977
0.406853,-4.001714,-2.980247,1.041843
1.404478,-2.983436,-3.184507,0.913676
0.364998,-3.749326,-3.413828,-0.976692
-1.090978,-3.203784,-2.678669,4.580908
0.773527,-3.642329,-3.286885,2.232287
1.655546,-3.520772,-3.10612,0.002356
1.153227,-3.028298,-2.564014,5.725678
0.288544,-3.249974,-3.312663,-0.64775
1.973068,-2.01419,-2.931773,2.831478
1.258066,-1.672674,-2.963502,0.797933
