%    Headers     that is to be ignored.
% One more line to be ignored
    
@relation       "HayTrain" notname
@attribute f1 real
@attribute f2 real
@attribute f3 real
@attribute f4 real
@attribute f5 real
@attribute f6 real
@attribute f7 real
@attribute f8 real
@attribute f9 real
@attribute class {1,2,3,4}
@DATA
69,36,321,178,8.2,96.6,33.4,1.0,1.0,1
56,24,398,352,12.9,76.8,23.4,0.3,1.1,1
26,10,337,87,8.2,97.9,32.8,1.2,1.1,1
108,114,344,176,11.8,99.7,33.1,0.6,0.9,1
102,100,380,142,11.9,95.2,32.1,3.3,0.9,1
118,171,301,124,15.3,97.0,33.5,0.9,1.1,1
20,19,227,90,13.9,102.3,33.5,0.7,1.0,1
632,435,694,555,12.2,102.0,35.7,1.9,0.9,2
87,49,394,99,16.2,95.1,32.7,1.6,0.9,2
156,47,381,85,12.7,92.7,32.2,3.6,1.0,2
139,106,489,132,20.1,105.0,36.4,1.9,1.1,2
82,45,379,33,18.2,102.2,35.6,2.9,1.3,2
257,65,494,65,17.3,75.6,23.9,3.5,1.1,2
175,21,344,134,19.9,86.6,27.8,0.6,1.3,2
89,64,318,95,21.6,102.0,33.0,1.6,1.3,2
153,42,845,168,26.3,97.9,31.8,1.9,1.3,2
55,29,463,238,30.5,103.5,35.1,2.2,1.9,2
83,28,581,95,11.4,94.9,31.9,26.4,0.8,2
74,47,357,324,21.8,91.8,30.6,1.9,1.3,2
107,73,339,34,11.2,95.7,32.3,1.3,1.2,2
553,208,1391,58,43.3,98.0,32.4,2.5,0.8,2
694,332,1530,170,21.0,86.2,29.1,2.5,1.2,2
283,42,585,156,9.8,96.2,31.8,3.0,0.9,2
827,334,3340,64,68.9,99.8,33.3,26.5,1.1,2
188,49,638,125,16.4,94.5,32.8,4.7,0.9,2
138,49,412,126,9.5,82.8,26.2,1.1,0.5,2
46,24,556,294,25.0,99.7,31.2,2.1,0.7,2
74,14,421,59,49.2,69.1,21.5,1.1,0.7,2
73,20,360,32,33.9,160.5,52.5,1.0,1.5,2
305,320,1263,51,22.1,111.3,36.0,4.5,0.8,2
39,26,320,38,34.1,93.8,30.7,8.6,0.8,2
174,54,293,436,18.2,107.0,35.2,37.0,0.8,2
827,334,3340,64,68.9,102.0,33.3,26.5,1.1,2
283,42,585,156,9.8,96.2,31.8,3.0,0.9,2
91,21,238,408,11.3,111.3,36.5,5.9,1.2,2
188,49,636,125,16.4,94.5,32.8,4.7,0.9,2
33,17,856,131,20.7,85.3,28.2,4.1,0.7,2
93,63,345,76,12.3,96.3,32.3,0.9,0.6,2
45,5,287,32,13.5,102.3,34.5,1.5,0.9,2
226,65,1077,206,30.5,96.5,29.7,6.0,0.9,2
99,45,781,43,16.2,89.5,29.5,0.6,1.3,2
49,17,539,29,12.9,91.3,30.1,1.1,0.6,2
72,21,481,81,9.0,98.1,33.8,1.8,0.7,2
47,14,427,62,10.5,92.9,31.1,1.4,0.6,2
108,77,398,85,28.4,105.2,35.6,1.5,1.4,2
60,33,350,241,23.7,114.8,38.3,2.3,1.5,2
140,54,440,324,9.4,90.4,29.6,1.6,1.0,2
568,99,865,256,18.3,102.8,35.3,13.1,0.9,2
101,52,432,103,14.7,94.4,32.3,2.2,1.0,2
171,49,333,82,10.5,92.4,31.9,3.0,1.0,2
124,64,320,419,9.3,94.1,31.8,1.1,1.0,2
98,61,465,133,16.1,105.0,35.9,2.2,1.0,2
284,580,553,18,18.7,100.9,35.0,3.3,0.9,2
171,17,367,145,16.4,87.0,27.4,0.6,1.3,2
77,51,332,90,24.8,100.0,33.8,0.8,1.2,2
95,56,607,71,29.0,102.8,35.4,1.7,0.9,2
163,46,862,166,39.9,98.0,31.5,2.0,1.9,2
148,90,708,204,18.9,97.3,32.2,34.5,0.9,2
127,71,395,356,24.8,84.3,27.6,1.3,1.1,2
108,75,312,34,14.1,94.8,31.9,1.3,1.2,2
129,40,778,81,36.6,99.3,33.2,2.7,0.7,2
59,25,370,58,11.8,87.5,28.4,0.9,1.1,2
193,91,700,144,22.4,85.3,28.6,2.9,1.2,2
361,76,548,210,18.1,95.4,33.0,3.3,0.9,2
700,176,1339,53,10.0,97.9,31.5,32.9,3.7,2
270,58,862,178,14.3,93.3,33.0,3.7,1.1,2
875,529,974,125,9.4,83.1,26.5,1.4,0.5,2
111,48,457,65,20.4,95.6,30.2,1.4,0.5,2
170,53,765,307,23.9,98.6,31.5,4.1,0.7,2
72,17,517,26,14.6,85.7,28.6,1.0,1.0,2
55,13,374,62,59.1,69.1,20.9,1.1,0.8,2
70,18,349,31,41.8,106.4,35.5,1.0,1.4,2
51,27,1143,50,16.8,80.4,25.4,2.8,0.5,2
99,14,854,53,20.9,109.0,34.1,3.8,0.8,2
282,314,408,37,58.7,92.5,31.1,8.1,1.7,2
325,122,701,609,26.8,107.6,35.0,30.5,0.8,2
176,51,537,129,17.1,84.6,26.9,0.6,1.0,2
700,176,1339,53,10.0,97.9,31.5,32.9,3.7,2
87,27,477,31,28.0,92.3,31.7,2.6,0.8,2
361,76,548,210,18.1,95.4,33.0,3.3,0.9,2
151,55,331,829,19.1,113.8,36.5,4.5,1.6,2
86,20,340,40,14.1,82.6,28.0,1.0,0.6,2
270,58,862,178,19.5,93.3,33.0,3.3,1.0,2
50,30,794,138,23.8,86.1,27.9,5.8,1.0,2
151,30,392,102,24.9,96.2,31.5,1.1,0.9,2
71,41,364,60,9.3,98.0,32.3,0.4,0.8,2
772,294,2416,110,63.1,98.6,31.0,15.4,2.9,2
68,53,487,81,15.7,89.8,30.5,0.4,1.0,2
92,31,464,87,8.2,98.0,32.8,2.0,0.8,2
87,60,427,60,19.3,105.9,35.2,1.6,1.2,2
71,39,354,222,25.2,113.8,38.5,1.4,1.7,2
185,66,498,337,8.9,89.8,29.6,1.9,1.1,2
143,39,1250,91,12.5,95.9,32.1,0.9,1.1,2
4356,1124,2746,290,33.2,103.9,34.5,18.0,1.4,2
453,197,642,379,16.1,100.0,35.2,16.4,0.8,2
102,40,412,90,14.0,95.9,31.8,2.9,0.9,2
161,36,324,61,11.6,95.6,33.3,3.4,1.0,2
215,106,1000,103,32.5,95.2,33.5,8.4,1.0,2
53,11,415,16,14.6,97.2,33.9,3.3,0.8,2
332,60,1076,130,63.3,80.2,27.1,8.2,1.8,2
103,14,367,154,13.9,86.3,28.1,1.1,1.4,2
88,49,343,96,25.1,102.0,32.8,1.0,1.2,2
286,106,846,148,15.8,93.4,29.9,2.8,3.0,2
111,73,467,327,20.2,98.3,32.9,25.5,1.0,2
70,39,366,43,13.2,87.6,28.5,1.2,1.1,2
357,74,426,125,23.3,100.0,34.2,17.2,0.8,2
605,155,1139,64,61.2,93.9,31.1,32.6,3.4,2
354,104,1047,265,21.4,95.9,33.5,4.8,1.0,2
85,19,437,87,7.9,84.4,26.8,0.6,0.5,2
227,105,726,108,11.9,95.1,32.2,2.6,0.5,2
49,33,843,262,24.6,99.7,32.1,4.6,0.7,2
124,16,740,71,91.1,75.3,23.6,2.2,0.8,2
70,22,334,25,28.7,107.0,34.2,0.8,1.4,2
26,10,838,45,15.9,84.1,26.5,2.6,0.8,2
92,143,564,79,25.2,107.4,36.3,3.9,0.6,2
43,31,335,58,31.5,95.4,30.7,4.3,0.8,2
657,147,1355,66,68.1,93.9,31.1,32.6,3.9,2
387,135,435,220,15.8,97.8,32.6,8.9,1.0,2
93,20,325,29,13.1,83.8,27.2,0.7,0.9,2
354,104,1047,265,21.4,95.9,33.5,4.8,1.0,2
35,20,1333,193,23.4,93.7,29.9,5.9,0.6,2
110,26,340,158,36.2,101.1,33.0,2.5,0.9,2
87,40,433,79,10.1,98.4,32.2,0.6,0.7,2
61,21,520,34,12.4,85.9,28.5,1.3,0.9,2
116,34,473,88,9.2,97.6,32.7,1.8,0.7,2
102,42,1109,102,21.5,97.8,32.5,1.5,0.8,2
96,48,686,60,15.6,105.9,35.0,1.9,1.2,2
97,52,524,149,10.3,95.1,32.9,0.5,1.0,2
473,411,499,22,14.6,100.5,33.2,20.9,0.7,3
31,15,280,23,35.0,86.3,30.3,1.4,1.4,3
28,11,263,8,27.7,76.4,26.1,0.7,1.5,3
20,15,259,11,16.9,100.0,34.9,3.7,0.8,3
42,26,299,18,17.9,89.2,30.9,1.2,1.2,3
31,8,366,12,19.3,82.0,26.3,0.7,1.1,3
112,48,776,42,25.1,96.8,33.4,2.5,0.9,3
113,58,390,62,18.0,97.7,33.1,1.5,1.0,3
213,49,612,22,16.3,113.5,37.2,3.5,1.0,3
41,13,358,32,8.7,94.9,31.5,0.9,1.0,3
90,46,6327,37,16.8,96.9,32.9,1.0,1.0,3
35,47,260,37,17.6,92.9,31.4,0.5,1.0,3
62,21,483,16,14.8,105.4,35.7,1.7,0.7,3
45,16,570,9,16.3,101.6,34.6,4.5,0.8,3
50,24,350,19,12.9,98.1,33.2,2.5,1.1,3
62,27,428,47,36.7,96.0,32.4,3.1,0.9,3
58,15,424,68,9.9,101.6,33.2,3.3,0.7,3
18,6,340,30,20.5,91.4,29.8,0.6,0.8,3
93,55,379,278,15.9,101.9,32.2,1.4,1.3,3
95,66,375,160,13.8,96.3,33.9,3.3,0.8,3
30,21,379,11,34.2,93.6,32.3,1.0,1.5,3
99,62,279,148,19.3,93.8,30.5,0.8,1.2,3
121,65,626,46,20.4,102.2,34.5,11.9,1.2,3
231,170,397,197,14.7,92.2,32.4,4.0,1.1,3
27,14,454,15,13.9,90.6,30.6,1.5,0.9,3
35,15,483,9,18.5,103.1,35.4,3.0,0.8,3
169,151,470,17,16.8,99.5,32.7,15.5,0.8,3
38,24,314,26,28.6,88.4,30.2,1.1,1.1,3
38,12,255,9,33.3,76.2,25.6,0.8,1.4,3
104,48,879,42,16.3,97.9,33.7,1.9,0.8,3
85,49,355,58,19.7,99.0,33.6,1.1,1.1,3
171,48,591,21,20.5,114.8,37.7,3.3,0.9,3
46,12,361,33,12.5,92.8,31.1,0.8,0.9,3
37,13,209,18,14.0,94.8,31.5,1.4,0.7,3
101,47,366,154,12.0,101.0,33.8,2.3,0.8,3
34,31,276,32,17.1,93.3,31.7,0.5,0.8,3
70,22,579,23,15.3,108.0,35.3,1.9,0.4,3
61,15,694,8,15.3,101.5,35.5,13.1,0.5,3
62,17,459,25,10.0,98.3,31.8,3.6,1.5,3
61,28,542,59,20.5,99.2,32.3,2.1,0.9,3
68,23,365,56,11.2,100.0,32.6,2.8,0.7,3
26,8,363,38,24.3,90.3,28.8,0.6,0.9,3
32,18,414,21,27.1,101.8,35.0,2.9,1.3,3
42,20,336,92,9.3,85.8,28.8,1.2,1.0,3
82,54,325,185,14.8,101.8,34.3,0.8,1.2,3
188,97,463,176,18.5,97.9,33.9,6.0,0.7,3
31,19,421,14,51.1,95.4,32.2,1.4,2.0,3
130,76,254,136,19.7,94.8,31.1,0.6,1.2,3
46,59,412,59,24.2,102.2,34.6,9.2,1.4,3
142,66,536,40,20.0,104.1,36.0,1.1,1.3,3
94,29,387,353,9.1,99.7,34.6,1.5,0.7,3
131,115,397,200,12.6,97.4,32.9,4.0,0.9,3
46,26,367,99,10.9,102.9,35.2,1.3,1.1,3
46,19,616,19,37.2,113.4,37.5,2.3,1.1,3
34,15,469,17,9.8,87.9,30.2,2.8,0.9,3
33,6,454,10,32.4,112.0,37.6,6.2,1.3,3
153,118,473,39,14.1,100.0,32.8,7.8,0.9,3
44,30,267,26,25.2,90.5,28.8,0.9,1.2,3
57,26,414,18,44.6,74.2,25.6,1.0,1.4,3
94,59,270,12,12.8,89.9,31.1,1.0,1.0,3
126,49,878,37,16.2,98.9,32.3,2.5,0.8,3
77,41,316,60,15.2,98.0,33.2,1.2,1.0,3
154,53,682,23,18.7,116.3,38.4,3.6,1.2,3
52,17,323,26,12.4,92.1,31.2,1.0,1.0,3
45,15,219,12,11.7,94.5,31.0,0.8,0.9,3
55,42,480,106,14.9,98.7,33.2,1.2,0.7,3
82,27,533,22,19.2,108.1,36.0,2.1,1.1,3
71,23,625,4,42.8,101.7,35.0,29.3,1.2,3
46,18,440,18,10.8,97.5,31.8,3.5,1.2,3
38,14,482,30,14.2,96.5,30.8,4.2,1.0,3
45,18,305,38,13.9,103.7,34.1,2.9,0.8,3
103,56,615,20,53.3,90.9,30.4,3.8,1.3,3
39,25,275,52,10.7,84.9,28.2,0.7,1.1,3
94,66,242,110,15.8,94.6,30.6,0.7,1.2,3
162,79,2989,14,74.7,98.2,32.5,35.7,4.3,3
134,79,273,410,16.1,99.4,34.6,1.3,0.8,3
44,30,405,78,11.1,101.0,34.5,1.9,1.1,3
31,19,526,14,25.7,116.3,39.7,3.4,0.9,3
24,7,510,16,16.0,90.4,30.1,1.7,1.1,3
27,15,406,11,18.6,108.3,37.9,8.1,1.3,3
22,10,282,13,20.7,93.3,31.6,0.4,1.2,4
18,8,225,7,16.5,84.5,27.9,0.3,1.0,4
113,79,374,222,11.8,95.4,31.7,3.4,0.9,4
26,29,264,155,9.3,89.1,29.1,0.4,1.1,4
22,13,303,35,10.7,87.8,28.6,0.5,0.5,4
16,5,252,10,17.9,90.4,28.5,0.5,1.1,4
11,7,223,13,15.1,88.2,31.0,1.9,0.9,4
41,74,261,275,10.9,91.9,31.2,1.0,1.3,4
19,10,256,18,17.4,99.8,33.5,0.7,0.9,4
15,8,238,20,13.1,91.9,30.3,1.0,1.1,4
127,97,359,173,10.3,94.7,31.6,0.5,1.1,4
21,12,242,22,15.2,96.5,32.1,0.7,1.4,4
18,10,299,11,15.9,89.9,30.3,0.5,1.0,4
18,16,332,64,16.6,91.2,30.8,0.4,1.1,4
19,7,295,78,20.6,85.3,29.2,0.4,1.0,4
28,16,300,62,22.0,93.0,29.7,0.6,1.5,4
80,88,234,545,14.6,94.4,31.5,1.3,0.9,4
33,31,243,59,17.5,93.4,31.7,0.6,1.3,4
26,16,368,72,6.4,89.7,29.6,1.7,1.0,4
21,11,318,40,12.1,88.6,29.4,0.7,0.6,4
19,4,312,26,20.1,91.0,29.1,0.5,1.2,4
46,25,270,39,17.0,98.2,33.0,0.8,1.0,4
83,103,291,30,12.2,87.8,29.9,0.8,1.0,4
17,11,359,17,17.2,93.3,32.4,0.8,1.1,4
21,8,341,7,10.1,86.4,28.2,0.6,0.9,4
38,51,340,42,10.8,85.3,29.9,0.9,1.2,4
16,10,282,16,17.1,91.9,31.9,0.7,1.1,4
15,7,266,6,16.0,100.0,34.3,0.1,1.1,4
277,127,478,358,14.1,90.2,31.6,6.7,1.2,4
61,48,432,173,17.9,93.4,31.4,1.3,1.4,4
20,54,268,93,9.5,88.8,30.8,0.6,0.8,4
17,4,334,4,11.5,90.0,31.5,0.7,0.8,4
14,6,314,6,12.5,89.3,30.4,0.5,1.1,4
8,7,237,12,15.9,88.8,30.6,0.9,1.0,4
84,176,323,493,9.7,93.0,31.3,2.5,1.3,4
19,11,265,20,13.3,101.1,33.3,0.8,1.0,4
11,8,189,20,16.3,91.6,31.3,0.7,1.0,4
65,27,314,98,10.5,94.5,32.7,0.5,1.0,4
15,7,321,8,17.3,88.3,29.8,0.5,0.9,4
15,13,294,66,21.7,92.6,31.4,0.7,1.1,4
8,5,215,10,12.1,84.5,28.8,0.4,0.8,4
51,50,331,134,13.5,93.8,30.2,1.3,1.2,4
95,104,263,562,10.4,94.6,32.2,0.8,0.8,4
45,60,333,124,9.9,94.8,33.0,0.4,0.8,4
19,5,305,21,20.5,91.9,31.4,0.5,1.2,4
26,16,368,72,6.4,89.7,29.6,1.7,1.0,4
21,11,318,40,12.1,88.6,29.4,0.7,0.6,4
149,83,1010,287,19.4,89.2,29.6,1.3,1.8,4
83,103,291,30,12.2,87.8,29.9,0.8,1.0,4
17,11,359,17,17.2,93.3,32.4,0.8,1.1,4
21,8,341,7,10.1,86.4,28.2,0.6,0.9,4
80,145,257,207,15.5,96.7,31.9,1.2,1.1,4
18,11,293,11,10.8,88.0,30.9,0.9,0.8,4
16,10,282,16,17.1,91.9,31.9,0.7,1.1,4
15,7,266,6,16.0,100.0,34.3,0.1,1.1,4
61,48,432,173,17.9,93.4,31.4,1.3,1.4,4
17,4,334,4,11.5,90.0,31.5,0.7,0.8,4
14,6,314,6,12.5,89.3,30.4,0.5,1.1,4
8,7,237,12,15.9,88.8,30.6,0.9,1.0,4
84,176,323,493,9.7,93.0,31.3,2.5,1.3,4
16,7,315,30,18.9,95.8,32.7,0.6,1.7,4
19,11,265,20,13.3,101.1,33.3,0.8,1.0,4
11,8,189,20,16.3,91.6,31.3,0.7,1.0,4
65,27,314,98,10.5,94.5,32.7,0.5,1.0,4
15,7,321,8,17.3,88.3,29.8,0.5,0.9,4
95,104,263,562,10.4,94.6,32.2,0.8,0.8,4
45,60,333,124,9.9,94.8,33.0,0.4,0.8,4
72,142,361,101,16.9,93.0,32.1,0.7,1.1,1
57,45,338,405,11.0,98.5,34.1,1.1,1.2,1
27,15,306,31,17.9,87.7,30.3,0.5,0.9,1
53,46,346,114,8.9,97.9,32.9,0.5,0.9,1
95,79,429,221,11.3,97.0,32.6,3.0,0.9,1
30,25,275,39,11.4,89.5,29.7,0.4,1.2,1
37,11,464,23,10.3,89.4,29.3,0.8,0.8,2
55,29,476,220,52.7,102.5,34.8,1.4,2.1,2
37,11,464,23,10.3,89.4,29.3,0.8,0.8,2
148,78,324,780,6.7,95.2,31.9,2.6,0.9,2
82,60,281,32,17.3,94.9,32.2,1.5,1.1,2
377,127,515,507,24.9,110.8,36.2,34.1,0.8,2
38,13,370,125,11.0,88.1,29.0,1.6,1.0,3
56,32,393,139,10.8,101.5,34.9,2.2,1.2,3
34,8,358,15,29.8,78.7,26.5,0.9,1.3,3
104,48,879,42,16.3,97.9,33.7,1.9,0.8,3
40,24,344,24,18.4,95.5,33.2,1.4,1.1,3
54,28,374,27,22.5,98.4,33.3,3.8,0.9,3
39,18,421,16,16.0,96.5,32.7,1.5,1.0,3
25,8,310,31,12.4,89.2,28.3,1.1,0.8,3
57,39,337,106,11.5,97.7,33.1,1.0,1.2,3
12,3,282,25,22.7,95.1,31.6,0.7,1.6,4
28,21,222,334,14.3,98.1,31.7,1.0,1.1,4
18,9,292,92,17.1,90.2,30.8,0.4,1.1,4
28,21,264,102,10.2,91.2,30.5,1.2,1.1,4
56,88,334,377,17.2,94.6,33.0,1.2,1.2,4
28,21,222,334,14.3,98.1,31.7,1.0,1.1,4
18,9,292,92,17.1,90.2,30.8,0.4,1.1,4
